Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
289,HOU,2023-12-29,127,,PHI,L 127-131,240,49,91,.538,35,61,.574,14,30,.467,15,21,.714,127,45,86,.523,33,53,.623,12,33,.364,29,33,.879,131
290,ORL,2023-12-26,127,@,WAS,W 127-119,240,49,93,.527,37,67,.552,12,26,.462,17,25,.680,127,43,87,.494,27,45,.600,16,42,.381,17,21,.810,119
291,PHI,2023-12-20,127,,MIN,W 127-113,240,45,84,.536,37,62,.597,8,22,.364,29,32,.906,127,42,82,.512,33,57,.579,9,25,.360,20,24,.833,113
292,HOU,2023-12-20,127,,ATL,L 127-134,240,44,89,.494,28,55,.509,16,34,.471,23,23,1.000,127,47,91,.516,30,51,.588,17,40,.425,23,28,.821,134
293,IND,2023-12-18,127,,LAC,L 127-151,240,49,95,.516,37,62,.597,12,33,.364,17,21,.810,127,56,98,.571,37,60,.617,19,38,.500,20,23,.870,151
294,CLE,2023-12-16,127,,ATL,W 127-119,240,49,101,.485,33,59,.559,16,42,.381,13,15,.867,127,41,85,.482,26,49,.531,15,36,.417,22,25,.880,119
295,MIN,2023-12-16,127,,IND,W 127-109,240,48,86,.558,30,56,.536,18,30,.600,13,16,.813,127,45,90,.500,39,69,.565,6,21,.286,13,16,.813,109
296,DAL,2023-12-12,127,,LAL,W 127-125,240,44,89,.494,23,46,.500,21,43,.488,18,21,.857,127,49,91,.538,34,62,.548,15,29,.517,12,18,.667,125
297,POR,2023-12-11,127,@,LAC,L 127-132,240,43,90,.478,24,50,.480,19,40,.475,22,26,.846,127,49,89,.551,36,55,.655,13,34,.382,21,22,.955,132
298,MIN,2023-12-08,127,@,MEM,W 127-103,240,44,88,.500,29,50,.580,15,38,.395,24,26,.923,127,37,86,.430,22,51,.431,15,35,.429,14,19,.737,103
299,NOP,2023-12-04,127,@,SAC,W 127-117,240,47,87,.540,33,56,.589,14,31,.452,19,23,.826,127,38,85,.447,24,44,.545,14,41,.341,27,33,.818,117
