Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
35,MEM,2022-12-15,142,,MIL,W 142-101,240,56,102,.549,44,70,.629,12,32,.375,18,23,.783,142,35,94,.372,22,44,.500,13,50,.260,18,27,.667,101
36,WAS,2022-11-28,142,,MIN,W 142-127,240,52,91,.571,37,60,.617,15,31,.484,23,27,.852,142,42,84,.500,35,57,.614,7,27,.259,36,42,.857,127
37,IND,2023-04-09,141,@,NYK,W 141-136,240,46,89,.517,27,55,.491,19,34,.559,30,38,.789,141,52,108,.481,37,68,.544,15,40,.375,17,22,.773,136
38,LAC,2023-03-29,141,@,MEM,W 141-132,240,48,78,.615,26,41,.634,22,37,.595,23,31,.742,141,49,95,.516,38,63,.603,11,32,.344,23,28,.821,132
39,PHI,2023-03-18,141,@,IND,W 141-121,240,54,88,.614,39,53,.736,15,35,.429,18,22,.818,141,45,87,.517,33,56,.589,12,31,.387,19,20,.950,121
40,GSW,2023-02-06,141,,OKC,W 141-114,240,56,97,.577,30,47,.638,26,50,.520,3,7,.429,141,44,91,.484,33,59,.559,11,32,.344,15,21,.714,114
41,MIL,2023-01-27,141,@,IND,W 141-131,240,52,98,.531,34,55,.618,18,43,.419,19,31,.613,141,49,89,.551,36,56,.643,13,33,.394,20,28,.714,131
42,ATL,2023-01-02,141,@,GSW,L 141-143 (2OT),290,53,109,.486,42,74,.568,11,35,.314,24,29,.828,141,54,121,.446,35,62,.565,19,59,.322,16,24,.667,143
43,DET,2022-12-14,141,@,CHO,W 141-134 (OT),265,48,93,.516,30,53,.566,18,40,.450,27,36,.750,141,47,114,.412,30,63,.476,17,51,.333,23,29,.793,134
44,DEN,2022-12-14,141,,WAS,W 141-128,240,54,83,.651,50,67,.746,4,16,.250,29,35,.829,141,48,91,.527,29,52,.558,19,39,.487,13,23,.565,128
45,MIL,2023-04-04,140,@,WAS,W 140-128,240,50,92,.543,27,50,.540,23,42,.548,17,29,.586,140,50,99,.505,37,72,.514,13,27,.481,15,21,.714,128
46,BOS,2023-03-30,140,@,MIL,W 140-99,240,51,91,.560,29,48,.604,22,43,.512,16,20,.800,140,38,101,.376,24,58,.414,14,43,.326,9,13,.692,99
47,MIN,2023-03-20,140,@,NYK,W 140-134,240,51,83,.614,37,59,.627,14,24,.583,24,32,.750,140,48,85,.565,34,57,.596,14,28,.500,24,28,.857,134
48,SAC,2023-02-06,140,@,HOU,W 140-120,240,52,89,.584,31,48,.646,21,41,.512,15,18,.833,140,44,88,.500,31,56,.554,13,32,.406,19,24,.792,120
49,LAL,2023-01-16,140,,HOU,W 140-132,240,49,91,.538,37,58,.638,12,33,.364,30,35,.857,140,49,100,.490,38,70,.543,11,30,.367,23,31,.742,132
50,POR,2023-01-15,140,,DAL,W 140-123,240,43,85,.506,26,41,.634,17,44,.386,37,42,.881,140,41,89,.461,27,47,.574,14,42,.333,27,33,.818,123
