Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,HOU,2019-10-30,159,@,WAS,W 159-158,240,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158
2,HOU,2019-11-30,158,,ATL,W 158-111,240,52,89,.584,27,38,.711,25,51,.490,29,34,.853,158,38,89,.427,23,43,.535,15,46,.326,20,25,.800,111
3,WAS,2019-10-30,158,,HOU,L 158-159,240,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159
4,HOU,2020-07-31,153,@,DAL,W 153-149 (OT),265,52,101,.515,33,53,.623,19,48,.396,30,39,.769,153,50,105,.476,29,56,.518,21,49,.429,28,38,.737,149
5,ATL,2020-01-26,152,,WAS,W 152-133,240,54,93,.581,39,58,.672,15,35,.429,29,34,.853,152,42,88,.477,31,55,.564,11,33,.333,38,42,.905,133
6,MIL,2020-01-28,151,,WAS,W 151-131,240,50,90,.556,31,53,.585,19,37,.514,32,35,.914,151,44,94,.468,30,62,.484,14,32,.438,29,34,.853,131
7,LAC,2019-12-01,150,,WAS,W 150-125,240,52,94,.553,38,62,.613,14,32,.438,32,40,.800,150,47,102,.461,36,72,.500,11,30,.367,20,27,.741,125
8,LAC,2019-11-16,150,,ATL,W 150-101,240,50,93,.538,33,60,.550,17,33,.515,33,35,.943,150,34,90,.378,28,66,.424,6,24,.250,27,37,.730,101
9,BOS,2020-08-05,149,,BRK,W 149-115,240,50,88,.568,30,49,.612,20,39,.513,29,35,.829,149,45,95,.474,37,63,.587,8,32,.250,17,21,.810,115
10,DAL,2020-07-31,149,,HOU,L 149-153 (OT),265,50,105,.476,29,56,.518,21,49,.429,28,38,.737,149,52,101,.515,33,53,.623,19,48,.396,30,39,.769,153
11,SAS,2019-12-23,145,@,MEM,W 145-115,240,60,89,.674,45,65,.692,15,24,.625,10,14,.714,145,45,96,.469,30,59,.508,15,37,.405,10,16,.625,115
12,ATL,2020-03-09,143,,CHO,W 143-138 (2OT),290,53,96,.552,32,53,.604,21,43,.488,16,27,.593,143,49,104,.471,30,56,.536,19,48,.396,21,23,.913,138
13,NYK,2019-12-17,143,,ATL,W 143-120,240,53,95,.558,40,67,.597,13,28,.464,24,31,.774,143,45,99,.455,30,56,.536,15,43,.349,15,20,.750,120
14,DAL,2019-11-22,143,,CLE,W 143-101,240,58,100,.580,38,63,.603,20,37,.541,7,9,.778,143,37,86,.430,25,57,.439,12,29,.414,15,17,.882,101
15,MIN,2020-02-08,142,,LAC,W 142-115,240,52,95,.547,26,51,.510,26,44,.591,12,18,.667,142,41,86,.477,32,60,.533,9,26,.346,24,29,.828,115
16,LAL,2019-12-08,142,,MIN,W 142-125,240,55,94,.585,41,63,.651,14,31,.452,18,20,.900,142,44,84,.524,29,47,.617,15,37,.405,22,26,.846,125
17,DAL,2019-11-20,142,,GSW,W 142-94,240,51,90,.567,29,52,.558,22,38,.579,18,23,.783,142,35,90,.389,27,63,.429,8,27,.296,16,25,.640,94
18,ATL,2020-02-28,141,,BRK,W 141-118,240,50,97,.515,31,58,.534,19,39,.487,22,30,.733,141,42,92,.457,24,46,.522,18,46,.391,16,21,.762,118
19,BOS,2020-02-13,141,,LAC,W 141-133 (2OT),290,45,103,.437,27,60,.450,18,43,.419,33,40,.825,141,46,110,.418,35,75,.467,11,35,.314,30,37,.811,133
20,DAL,2019-12-28,141,@,GSW,W 141-121,240,48,92,.522,24,41,.585,24,51,.471,21,21,1.000,141,45,93,.484,27,54,.500,18,39,.462,13,17,.765,121
21,PHI,2019-12-07,141,,CLE,W 141-94,240,57,90,.633,46,64,.719,11,26,.423,16,23,.696,141,36,96,.375,27,61,.443,9,35,.257,13,17,.765,94
22,LAC,2019-10-24,141,@,GSW,W 141-122,240,50,80,.625,32,48,.667,18,32,.563,23,30,.767,141,39,99,.394,24,57,.421,15,42,.357,29,30,.967,122
23,SAC,2020-08-06,140,,NOP,W 140-125,240,50,93,.538,34,60,.567,16,33,.485,24,33,.727,140,47,82,.573,33,48,.688,14,34,.412,17,23,.739,125
24,POR,2020-07-31,140,,MEM,W 140-135 (OT),265,49,91,.538,36,61,.590,13,30,.433,29,34,.853,140,42,93,.452,29,52,.558,13,41,.317,38,50,.760,135
