Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,MIA,2018-03-19,149,,DEN,W 149-141 (2OT),290,56,102,.549,36,66,.545,20,36,.556,17,27,.630,149,46,100,.460,28,62,.452,18,38,.474,31,37,.838,141
2,OKC,2018-01-20,148,@,CLE,W 148-124,240,58,100,.580,44,70,.629,14,30,.467,18,28,.643,148,46,89,.517,36,52,.692,10,37,.270,22,27,.815,124
3,HOU,2017-12-31,148,,LAL,W 148-142 (2OT),290,49,106,.462,31,54,.574,18,52,.346,32,39,.821,148,53,105,.505,43,80,.538,10,25,.400,26,37,.703,142
4,DEN,2017-11-17,146,,NOP,W 146-114,240,56,89,.629,38,54,.704,18,35,.514,16,21,.762,146,48,91,.527,36,58,.621,12,33,.364,6,10,.600,114
5,GSW,2017-11-24,143,,CHI,W 143-94,240,53,91,.582,37,55,.673,16,36,.444,21,21,1.000,143,35,99,.354,22,63,.349,13,36,.361,11,15,.733,94
6,LAL,2017-12-31,142,@,HOU,L 142-148 (2OT),290,53,105,.505,43,80,.538,10,25,.400,26,37,.703,142,49,106,.462,31,54,.574,18,52,.346,32,39,.821,148
7,HOU,2017-11-16,142,@,PHO,W 142-116,240,43,90,.478,22,46,.478,21,44,.477,35,38,.921,142,47,104,.452,37,74,.500,10,30,.333,12,21,.571,116
8,DEN,2018-03-19,141,@,MIA,L 141-149 (2OT),290,46,100,.460,28,62,.452,18,38,.474,31,37,.838,141,56,102,.549,36,66,.545,20,36,.556,17,27,.630,149
9,GSW,2017-12-30,141,,MEM,W 141-128,240,50,85,.588,32,52,.615,18,33,.545,23,25,.920,141,49,94,.521,34,73,.466,15,21,.714,15,22,.682,128
10,GSW,2017-10-30,141,@,LAC,W 141-113,240,52,89,.584,38,60,.633,14,29,.483,23,30,.767,141,39,86,.453,29,61,.475,10,25,.400,25,30,.833,113
11,CHO,2018-03-22,140,,MEM,W 140-79,240,49,92,.533,30,52,.577,19,40,.475,23,27,.852,140,30,78,.385,26,60,.433,4,18,.222,15,21,.714,79
12,CLE,2018-02-07,140,,MIN,W 140-138 (OT),265,52,88,.591,31,47,.660,21,41,.512,15,23,.652,140,54,93,.581,35,60,.583,19,33,.576,11,12,.917,138
13,IND,2017-10-18,140,,BRK,W 140-131,240,53,102,.520,44,68,.647,9,34,.265,25,32,.781,140,45,94,.479,33,64,.516,12,30,.400,29,32,.906,131
14,NOP,2018-02-14,139,,LAL,W 139-117,240,53,99,.535,39,67,.582,14,32,.438,19,21,.905,139,46,90,.511,36,68,.529,10,22,.455,15,18,.833,117
15,NOP,2018-02-10,138,@,BRK,W 138-128 (2OT),290,52,106,.491,43,82,.524,9,24,.375,25,39,.641,138,43,114,.377,22,55,.400,21,59,.356,21,22,.955,128
16,MIN,2018-02-07,138,@,CLE,L 138-140 (OT),265,54,93,.581,35,60,.583,19,33,.576,11,12,.917,138,52,88,.591,31,47,.660,21,41,.512,15,23,.652,140
17,OKC,2018-04-11,137,,MEM,W 137-123,240,47,85,.553,27,42,.643,20,43,.465,23,32,.719,137,44,91,.484,31,60,.517,13,31,.419,22,24,.917,123
18,CHO,2018-04-06,137,@,ORL,W 137-100,240,48,86,.558,31,55,.564,17,31,.548,24,26,.923,137,42,94,.447,33,71,.465,9,23,.391,7,13,.538,100
19,CHO,2018-03-26,137,,NYK,W 137-128 (OT),265,51,93,.548,40,65,.615,11,28,.393,24,28,.857,137,54,105,.514,45,75,.600,9,30,.300,11,11,1.000,128
20,HOU,2017-11-05,137,,UTA,W 137-110,240,48,81,.593,25,42,.595,23,39,.590,18,21,.857,137,38,88,.432,25,54,.463,13,34,.382,21,24,.875,110
21,DEN,2018-03-21,135,@,CHI,W 135-102,240,51,83,.614,31,48,.646,20,35,.571,13,16,.813,135,39,89,.438,26,51,.510,13,38,.342,11,14,.786,102
22,GSW,2017-11-11,135,,PHI,W 135-114,240,48,82,.585,34,55,.618,14,27,.519,25,26,.962,135,44,94,.468,32,66,.485,12,28,.429,14,20,.700,114
23,DEN,2018-04-07,134,@,LAC,W 134-115,240,53,85,.624,41,56,.732,12,29,.414,16,23,.696,134,43,87,.494,37,70,.529,6,17,.353,23,34,.676,115
24,BOS,2018-02-28,134,,CHO,W 134-106,240,54,87,.621,42,67,.627,12,20,.600,14,15,.933,134,42,91,.462,33,64,.516,9,27,.333,13,22,.591,106
25,GSW,2018-02-22,134,,LAC,W 134-127,240,47,77,.610,33,52,.635,14,25,.560,26,34,.765,134,44,88,.500,33,56,.589,11,32,.344,28,34,.824,127
26,DEN,2018-02-15,134,@,MIL,W 134-123,240,47,85,.553,23,45,.511,24,40,.600,16,20,.800,134,49,92,.533,40,66,.606,9,26,.346,16,22,.727,123
27,DEN,2018-01-03,134,,PHO,W 134-111,240,51,82,.622,39,55,.709,12,27,.444,20,22,.909,134,39,92,.424,26,57,.456,13,35,.371,20,28,.714,111
28,UTA,2018-02-05,133,@,NOP,W 133-109,240,52,89,.584,38,68,.559,14,21,.667,15,17,.882,133,47,93,.505,39,71,.549,8,22,.364,7,13,.538,109
29,CHO,2018-02-02,133,,IND,W 133-126,240,44,83,.530,29,50,.580,15,33,.455,30,34,.882,133,44,87,.506,32,58,.552,12,29,.414,26,28,.929,126
30,CHO,2018-01-17,133,,WAS,W 133-109,240,48,98,.490,33,67,.493,15,31,.484,22,26,.846,133,40,82,.488,27,59,.458,13,23,.565,16,23,.696,109
31,TOR,2018-01-11,133,,CLE,W 133-99,240,53,106,.500,35,64,.547,18,42,.429,9,13,.692,133,34,89,.382,28,63,.444,6,26,.231,25,30,.833,99
32,OKC,2018-01-03,133,@,LAL,W 133-96,240,56,93,.602,42,63,.667,14,30,.467,7,9,.778,133,38,92,.413,27,59,.458,11,33,.333,9,15,.600,96
33,GSW,2017-12-01,133,@,ORL,W 133-112,240,55,88,.625,43,64,.672,12,24,.500,11,11,1.000,133,44,96,.458,33,68,.485,11,28,.393,13,18,.722,112
34,SAS,2017-11-11,133,,CHI,W 133-94,240,51,85,.600,33,58,.569,18,27,.667,13,16,.813,133,40,86,.465,34,63,.540,6,23,.261,8,13,.615,94
35,GSW,2017-10-23,133,@,DAL,W 133-103,240,48,86,.558,33,47,.702,15,39,.385,22,26,.846,133,38,96,.396,29,67,.433,9,29,.310,18,30,.600,103
36,PHI,2018-04-06,132,,CLE,W 132-130,240,50,101,.495,36,62,.581,14,39,.359,18,21,.857,132,45,87,.517,29,53,.547,16,34,.471,24,33,.727,130
37,CLE,2018-03-21,132,,TOR,W 132-129,240,47,78,.603,32,54,.593,15,24,.625,23,28,.821,132,47,88,.534,32,54,.593,15,34,.441,20,23,.870,129
38,OKC,2018-03-18,132,@,TOR,W 132-125,240,49,88,.557,39,67,.582,10,21,.476,24,34,.706,132,46,81,.568,31,51,.608,15,30,.500,18,23,.783,125
39,TOR,2018-03-11,132,@,NYK,W 132-106,240,47,93,.505,31,58,.534,16,35,.457,22,25,.880,132,40,88,.455,33,67,.493,7,21,.333,19,24,.792,106
40,NOP,2018-01-22,132,,CHI,W 132-128 (2OT),290,47,113,.416,31,69,.449,16,44,.364,22,26,.846,132,45,92,.489,37,61,.607,8,31,.258,30,34,.882,128
41,LAL,2018-01-07,132,,ATL,W 132-113,240,48,86,.558,32,50,.640,16,36,.444,20,25,.800,132,41,94,.436,29,60,.483,12,34,.353,19,23,.826,113
42,LAL,2017-10-20,132,@,PHO,W 132-130,240,48,93,.516,36,67,.537,12,26,.462,24,33,.727,132,45,92,.489,31,63,.492,14,29,.483,26,38,.684,130
43,LAL,2018-03-01,131,@,MIA,W 131-113,240,47,79,.595,31,50,.620,16,29,.552,21,26,.808,131,46,95,.484,37,64,.578,9,31,.290,12,16,.750,113
44,CLE,2018-01-06,131,@,ORL,W 131-127,240,47,94,.500,32,60,.533,15,34,.441,22,31,.710,131,49,98,.500,35,61,.574,14,37,.378,15,22,.682,127
45,CHO,2018-01-02,131,@,SAC,W 131-111,240,51,89,.573,36,57,.632,15,32,.469,14,18,.778,131,45,87,.517,38,70,.543,7,17,.412,14,18,.778,111
46,TOR,2018-01-01,131,,MIL,W 131-127 (OT),265,45,91,.495,31,58,.534,14,33,.424,27,33,.818,131,44,93,.473,31,66,.470,13,27,.481,26,28,.929,127
47,NOP,2017-12-10,131,,PHI,W 131-124,240,46,80,.575,31,56,.554,15,24,.625,24,32,.750,131,44,96,.458,35,67,.522,9,29,.310,27,30,.900,124
48,DET,2017-11-29,131,,PHO,W 131-107,240,51,89,.573,38,61,.623,13,28,.464,16,21,.762,131,39,84,.464,32,62,.516,7,22,.318,22,28,.786,107
49,BRK,2017-10-18,131,@,IND,L 131-140,240,45,94,.479,33,64,.516,12,30,.400,29,32,.906,131,53,102,.520,44,68,.647,9,34,.265,25,32,.781,140
50,PHI,2018-04-11,130,,MIL,W 130-95,240,52,105,.495,37,69,.536,15,36,.417,11,15,.733,130,37,90,.411,30,65,.462,7,25,.280,14,16,.875,95
51,MEM,2018-04-08,130,,DET,W 130-117,240,48,83,.578,32,50,.640,16,33,.485,18,24,.750,130,38,93,.409,15,46,.326,23,47,.489,18,23,.783,117
52,CLE,2018-04-06,130,@,PHI,L 130-132,240,45,87,.517,29,53,.547,16,34,.471,24,33,.727,130,50,101,.495,36,62,.581,14,39,.359,18,21,.857,132
53,DEN,2018-03-11,130,,SAC,W 130-104,240,50,89,.562,35,52,.673,15,37,.405,15,21,.714,130,39,91,.429,33,60,.550,6,31,.194,20,26,.769,104
54,DAL,2018-02-10,130,,LAL,W 130-123,240,48,89,.539,36,62,.581,12,27,.444,22,27,.815,130,46,84,.548,30,50,.600,16,34,.471,15,22,.682,123
55,HOU,2018-02-09,130,,DEN,W 130-104,240,43,86,.500,24,45,.533,19,41,.463,25,34,.735,130,42,88,.477,39,60,.650,3,28,.107,17,21,.810,104
56,TOR,2018-02-02,130,,POR,W 130-105,240,46,99,.465,27,59,.458,19,40,.475,19,21,.905,130,37,73,.507,30,52,.577,7,21,.333,24,33,.727,105
57,DEN,2018-01-25,130,,NYK,W 130-118,240,48,80,.600,34,52,.654,14,28,.500,20,24,.833,130,45,82,.549,37,61,.607,8,21,.381,20,24,.833,118
58,WAS,2017-12-23,130,,ORL,W 130-103,240,47,86,.547,31,56,.554,16,30,.533,20,23,.870,130,42,87,.483,34,61,.557,8,26,.308,11,17,.647,103
59,HOU,2017-12-11,130,,NOP,W 130-123,240,48,88,.545,31,43,.721,17,45,.378,17,25,.680,130,49,85,.576,31,52,.596,18,33,.545,7,13,.538,123
60,PHI,2017-11-25,130,,ORL,W 130-111,240,48,95,.505,32,61,.525,16,34,.471,18,20,.900,130,39,86,.453,27,55,.491,12,31,.387,21,31,.677,111
61,CLE,2017-11-03,130,@,WAS,W 130-122,240,46,82,.561,34,55,.618,12,27,.444,26,28,.929,130,45,84,.536,34,56,.607,11,28,.393,21,31,.677,122
62,IND,2017-10-24,130,@,MIN,W 130-107,240,56,84,.667,46,62,.742,10,22,.455,8,11,.727,130,42,86,.488,33,62,.532,9,24,.375,14,22,.636,107
63,LAC,2017-10-21,130,,PHO,W 130-88,240,48,88,.545,36,62,.581,12,26,.462,22,30,.733,130,27,71,.380,21,47,.447,6,24,.250,28,38,.737,88
64,PHO,2017-10-20,130,,LAL,L 130-132,240,45,92,.489,31,63,.492,14,29,.483,26,38,.684,130,48,93,.516,36,67,.537,12,26,.462,24,33,.727,132
65,TOR,2018-03-21,129,@,CLE,L 129-132,240,47,88,.534,32,54,.593,15,34,.441,20,23,.870,129,47,78,.603,32,54,.593,15,24,.625,23,28,.821,132
66,HOU,2018-03-18,129,@,MIN,W 129-120,240,43,78,.551,27,43,.628,16,35,.457,27,36,.750,129,45,86,.523,35,66,.530,10,20,.500,20,26,.769,120
