Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,CHI,2019-03-01,168,@,ATL,W 168-161 (4OT),340,56,119,.471,35,71,.493,21,48,.438,35,48,.729,168,61,123,.496,39,63,.619,22,60,.367,17,25,.680,161
2,ATL,2019-03-01,161,,CHI,L 161-168 (4OT),340,61,123,.496,39,63,.619,22,60,.367,17,25,.680,161,56,119,.471,35,71,.493,21,48,.438,35,48,.729,168
3,SAS,2019-01-10,154,,OKC,W 154-147 (2OT),290,56,99,.566,40,80,.500,16,19,.842,26,29,.897,154,58,114,.509,43,79,.544,15,35,.429,16,24,.667,147
4,HOU,2019-04-07,149,,PHO,W 149-113,240,53,100,.530,26,43,.605,27,57,.474,16,21,.762,149,43,93,.462,32,59,.542,11,34,.324,16,21,.762,113
5,ORL,2019-04-05,149,,ATL,W 149-113,240,56,92,.609,38,55,.691,18,37,.486,19,25,.760,149,41,94,.436,31,55,.564,10,39,.256,21,31,.677,113
6,PHI,2019-01-15,149,,MIN,W 149-107,240,55,92,.598,34,49,.694,21,43,.488,18,21,.857,149,35,90,.389,27,67,.403,8,23,.348,29,35,.829,107
7,WAS,2018-12-22,149,,PHO,W 149-146 (3OT),315,56,111,.505,43,75,.573,13,36,.361,24,27,.889,149,55,115,.478,44,80,.550,11,35,.314,25,33,.758,146
8,GSW,2018-10-29,149,@,CHI,W 149-124,240,53,96,.552,29,51,.569,24,45,.533,19,26,.731,149,46,94,.489,35,59,.593,11,35,.314,21,34,.618,124
9,NOP,2018-10-19,149,,SAC,W 149-129,240,56,95,.589,40,64,.625,16,31,.516,21,33,.636,149,50,96,.521,40,71,.563,10,25,.400,19,26,.731,129
10,POR,2019-03-25,148,,BRK,W 148-144 (2OT),290,53,121,.438,39,76,.513,14,45,.311,28,36,.778,148,49,103,.476,34,61,.557,15,42,.357,31,44,.705,144
11,OKC,2019-02-22,148,,UTA,W 148-147 (2OT),290,55,118,.466,37,74,.500,18,44,.409,20,25,.800,148,52,105,.495,34,65,.523,18,40,.450,25,31,.806,147
12,BRK,2019-02-13,148,@,CLE,W 148-139 (3OT),315,52,113,.460,34,68,.500,18,45,.400,26,34,.765,148,54,120,.450,36,78,.462,18,42,.429,13,18,.722,139
13,MIL,2019-02-06,148,,WAS,W 148-129,240,56,93,.602,37,63,.587,19,30,.633,17,26,.654,148,48,92,.522,31,55,.564,17,37,.459,16,19,.842,129
14,UTA,2019-02-22,147,@,OKC,L 147-148 (2OT),290,52,105,.495,34,65,.523,18,40,.450,25,31,.806,147,55,118,.466,37,74,.500,18,44,.409,20,25,.800,148
15,GSW,2019-01-16,147,,NOP,W 147-140,240,49,102,.480,25,53,.472,24,49,.490,25,31,.806,147,47,98,.480,28,61,.459,19,37,.514,27,33,.818,140
16,OKC,2019-01-10,147,@,SAS,L 147-154 (2OT),290,58,114,.509,43,79,.544,15,35,.429,16,24,.667,147,56,99,.566,40,80,.500,16,19,.842,26,29,.897,154
17,GSW,2019-01-11,146,,CHI,W 146-109,240,53,92,.576,35,53,.660,18,39,.462,22,26,.846,146,35,78,.449,26,58,.448,9,20,.450,30,34,.882,109
18,PHO,2018-12-22,146,@,WAS,L 146-149 (3OT),315,55,115,.478,44,80,.550,11,35,.314,25,33,.758,146,56,111,.505,43,75,.573,13,36,.361,24,27,.889,149
19,SAC,2018-11-01,146,@,ATL,W 146-115,240,53,98,.541,39,63,.619,14,35,.400,26,32,.813,146,42,87,.483,34,56,.607,8,31,.258,23,34,.676,115
20,BRK,2019-01-16,145,@,HOU,W 145-142 (OT),265,56,108,.519,40,72,.556,16,36,.444,17,22,.773,145,45,105,.429,22,35,.629,23,70,.329,29,34,.853,142
21,BRK,2019-03-25,144,@,POR,L 144-148 (2OT),290,49,103,.476,34,61,.557,15,42,.357,31,44,.705,144,53,121,.438,39,76,.513,14,45,.311,28,36,.778,148
22,MIL,2019-01-04,144,,ATL,W 144-112,240,55,100,.550,41,60,.683,14,40,.350,20,28,.714,144,37,85,.435,23,44,.523,14,41,.341,24,35,.686,112
23,BRK,2018-12-16,144,,ATL,W 144-127,240,49,88,.557,33,48,.688,16,40,.400,30,33,.909,144,47,85,.553,33,56,.589,14,29,.483,19,25,.760,127
24,MIL,2018-11-04,144,,SAC,W 144-109,240,46,95,.484,24,39,.615,22,56,.393,30,33,.909,144,42,95,.442,28,59,.475,14,36,.389,11,22,.500,109
25,GSW,2018-10-24,144,,WAS,W 144-122,240,53,92,.576,38,59,.644,15,33,.455,23,25,.920,144,42,93,.452,30,51,.588,12,42,.286,26,28,.929,122
26,LAC,2019-04-10,143,,UTA,W 143-137 (OT),265,54,106,.509,42,78,.538,12,28,.429,23,30,.767,143,47,106,.443,33,71,.465,14,35,.400,29,33,.879,137
27,PHI,2019-02-10,143,,LAL,W 143-120,240,56,97,.577,44,73,.603,12,24,.500,19,22,.864,143,48,93,.516,38,66,.576,10,27,.370,14,19,.737,120
28,MIL,2018-11-21,143,,POR,W 143-100,240,57,108,.528,42,63,.667,15,45,.333,14,17,.824,143,34,93,.366,25,52,.481,9,41,.220,23,28,.821,100
29,SAS,2018-10-22,143,@,LAL,W 143-142 (OT),265,50,97,.515,35,69,.507,15,28,.536,28,38,.737,143,55,107,.514,41,68,.603,14,39,.359,18,26,.692,142
30,HOU,2019-01-16,142,,BRK,L 142-145 (OT),265,45,105,.429,22,35,.629,23,70,.329,29,34,.853,142,56,108,.519,40,72,.556,16,36,.444,17,22,.773,145
31,ATL,2019-01-15,142,,OKC,W 142-126,240,56,90,.622,38,53,.717,18,37,.486,12,16,.750,142,43,94,.457,34,62,.548,9,32,.281,31,41,.756,126
32,GSW,2019-01-15,142,@,DEN,W 142-111,240,57,95,.600,36,56,.643,21,39,.538,7,10,.700,142,42,92,.457,28,58,.483,14,34,.412,13,16,.813,111
33,LAL,2018-10-22,142,,SAS,L 142-143 (OT),265,55,107,.514,41,68,.603,14,39,.359,18,26,.692,142,50,97,.515,35,69,.507,15,28,.536,28,38,.737,143
34,MIL,2019-02-27,141,@,SAC,W 141-140 (OT),265,54,112,.482,37,67,.552,17,45,.378,16,21,.762,141,53,118,.449,41,85,.482,12,33,.364,22,30,.733,140
35,GSW,2019-02-06,141,,SAS,W 141-102,240,55,95,.579,39,61,.639,16,34,.471,15,21,.714,141,35,81,.432,23,49,.469,12,32,.375,20,21,.952,102
36,HOU,2019-01-11,141,,CLE,W 141-113,240,46,89,.517,26,37,.703,20,52,.385,29,32,.906,141,40,89,.449,31,56,.554,9,33,.273,24,26,.923,113
37,SAC,2018-12-12,141,,MIN,W 141-130,240,50,86,.581,31,48,.646,19,38,.500,22,32,.688,141,50,93,.538,41,71,.577,9,22,.409,21,27,.778,130
38,LAC,2019-03-11,140,,BOS,W 140-115,240,53,86,.616,40,58,.690,13,28,.464,21,25,.840,140,44,91,.484,30,55,.545,14,36,.389,13,19,.684,115
39,SAC,2019-02-27,140,,MIL,L 140-141 (OT),265,53,118,.449,41,85,.482,12,33,.364,22,30,.733,140,54,112,.482,37,67,.552,17,45,.378,16,21,.762,141
40,MIL,2019-02-23,140,,MIN,W 140-128,240,50,95,.526,31,52,.596,19,43,.442,21,22,.955,140,50,102,.490,38,76,.500,12,26,.462,16,20,.800,128
41,NOP,2019-01-16,140,@,GSW,L 140-147,240,47,98,.480,28,61,.459,19,37,.514,27,33,.818,140,49,102,.480,25,53,.472,24,49,.490,25,31,.806,147
42,TOR,2019-01-13,140,@,WAS,W 140-138 (2OT),290,49,104,.471,36,68,.529,13,36,.361,29,36,.806,140,54,118,.458,35,74,.473,19,44,.432,11,18,.611,138
43,NOP,2019-01-09,140,,CLE,W 140-124,240,46,84,.548,34,55,.618,12,29,.414,36,39,.923,140,42,88,.477,28,58,.483,14,30,.467,26,30,.867,124
44,NOP,2018-11-19,140,,SAS,W 140-126,240,59,102,.578,49,76,.645,10,26,.385,12,14,.857,140,45,94,.479,33,70,.471,12,24,.500,24,30,.800,126
45,DAL,2018-10-20,140,,MIN,W 140-136,240,49,98,.500,32,48,.667,17,50,.340,25,34,.735,140,44,84,.524,30,57,.526,14,27,.519,34,40,.850,136
46,CLE,2019-02-13,139,,BRK,L 139-148 (3OT),315,54,120,.450,36,78,.462,18,42,.429,13,18,.722,139,52,113,.460,34,68,.500,18,45,.400,26,34,.765,148
47,UTA,2018-12-04,139,,SAS,W 139-105,240,51,84,.607,31,51,.608,20,33,.606,17,20,.850,139,44,90,.489,37,68,.544,7,22,.318,10,11,.909,105
48,PHO,2019-03-16,138,@,NOP,W 138-136 (OT),265,51,100,.510,42,71,.592,9,29,.310,27,36,.750,138,47,102,.461,32,72,.444,15,30,.500,27,41,.659,136
49,HOU,2019-01-19,138,,LAL,W 138-134 (OT),265,42,100,.420,17,32,.531,25,68,.368,29,36,.806,138,50,96,.521,40,59,.678,10,37,.270,24,30,.800,134
50,LAL,2019-01-17,138,@,OKC,W 138-128 (OT),265,50,99,.505,31,59,.525,19,40,.475,19,21,.905,138,41,104,.394,19,50,.380,22,54,.407,24,36,.667,128
51,WAS,2019-01-13,138,,TOR,L 138-140 (2OT),290,54,118,.458,35,74,.473,19,44,.432,11,18,.611,138,49,104,.471,36,68,.529,13,36,.361,29,36,.806,140
52,DEN,2018-11-15,138,,ATL,W 138-93,240,53,94,.564,40,63,.635,13,31,.419,19,25,.760,138,32,92,.348,23,50,.460,9,42,.214,20,27,.741,93
53,UTA,2019-04-10,137,@,LAC,L 137-143 (OT),265,47,106,.443,33,71,.465,14,35,.400,29,33,.879,137,54,106,.509,42,78,.538,12,28,.429,23,30,.767,143
54,GSW,2019-03-31,137,,CHO,W 137-90,240,53,88,.602,32,55,.582,21,33,.636,10,12,.833,137,30,85,.353,22,53,.415,8,32,.250,22,25,.880,90
55,UTA,2019-03-20,137,@,NYK,W 137-116,240,48,85,.565,28,43,.651,20,42,.476,21,25,.840,137,45,86,.523,32,55,.582,13,31,.419,13,21,.619,116
56,ATL,2019-02-04,137,@,WAS,W 137-129,240,46,91,.505,26,51,.510,20,40,.500,25,29,.862,137,48,97,.495,36,59,.610,12,38,.316,21,29,.724,129
57,POR,2019-04-10,136,,SAC,W 136-131,240,53,91,.582,39,67,.582,14,24,.583,16,22,.727,136,50,96,.521,32,53,.604,18,43,.419,13,16,.813,131
58,ATL,2019-03-31,136,,MIL,W 136-135 (OT),265,52,118,.441,30,57,.526,22,61,.361,10,17,.588,136,48,116,.414,31,61,.508,17,55,.309,22,23,.957,135
59,NOP,2019-03-16,136,,PHO,L 136-138 (OT),265,47,102,.461,32,72,.444,15,30,.500,27,41,.659,136,51,100,.510,42,71,.592,9,29,.310,27,36,.750,138
60,IND,2019-02-05,136,,LAL,W 136-94,240,56,98,.571,37,64,.578,19,34,.559,5,8,.625,136,35,75,.467,31,54,.574,4,21,.190,20,26,.769,94
61,DEN,2019-02-01,136,,HOU,W 136-122,240,51,82,.622,37,51,.725,14,31,.452,20,23,.870,136,45,85,.529,29,41,.707,16,44,.364,16,21,.762,122
62,HOU,2018-12-19,136,,WAS,W 136-118,240,47,85,.553,21,30,.700,26,55,.473,16,21,.762,136,45,84,.536,35,54,.648,10,30,.333,18,23,.783,118
63,NYK,2018-12-01,136,,MIL,W 136-134 (OT),265,51,96,.531,31,62,.500,20,34,.588,14,21,.667,136,46,94,.489,28,52,.538,18,42,.429,24,31,.774,134
64,HOU,2018-11-30,136,@,SAS,W 136-105,240,49,98,.500,27,44,.614,22,54,.407,16,20,.800,136,39,86,.453,29,58,.500,10,28,.357,17,20,.850,105
65,CLE,2018-10-30,136,,ATL,W 136-114,240,45,90,.500,32,65,.492,13,25,.520,33,43,.767,136,44,82,.537,29,47,.617,15,35,.429,11,17,.647,114
66,LAC,2018-10-28,136,,WAS,W 136-104,240,56,103,.544,40,74,.541,16,29,.552,8,13,.615,136,38,97,.392,33,70,.471,5,27,.185,23,28,.821,104
67,MIN,2018-10-20,136,@,DAL,L 136-140,240,44,84,.524,30,57,.526,14,27,.519,34,40,.850,136,49,98,.500,32,48,.667,17,50,.340,25,34,.735,140
68,IND,2019-04-10,135,@,ATL,W 135-134,240,45,98,.459,33,68,.485,12,30,.400,33,39,.846,135,43,103,.417,26,62,.419,17,41,.415,31,38,.816,134
69,HOU,2019-04-03,135,@,LAC,W 135-103,240,47,88,.534,29,50,.580,18,38,.474,23,29,.793,135,38,82,.463,30,56,.536,8,26,.308,19,31,.613,103
70,MIL,2019-03-31,135,@,ATL,L 135-136 (OT),265,48,116,.414,31,61,.508,17,55,.309,22,23,.957,135,52,118,.441,30,57,.526,22,61,.361,10,17,.588,136
71,WAS,2019-03-16,135,,MEM,W 135-128,240,41,81,.506,24,46,.522,17,35,.486,36,43,.837,135,48,90,.533,36,57,.632,12,33,.364,20,26,.769,128
72,MIN,2019-03-09,135,,WAS,W 135-130 (OT),265,51,114,.447,39,78,.500,12,36,.333,21,24,.875,135,48,100,.480,32,56,.571,16,44,.364,18,24,.750,130
73,WAS,2019-03-03,135,,MIN,W 135-121,240,49,98,.500,38,65,.585,11,33,.333,26,32,.813,135,52,99,.525,48,72,.667,4,27,.148,13,19,.684,121
74,BRK,2019-02-06,135,,DEN,W 135-130,240,46,90,.511,27,56,.482,19,34,.559,24,33,.727,135,50,99,.505,37,64,.578,13,35,.371,17,21,.810,130
75,SAC,2019-01-30,135,,ATL,W 135-113,240,54,99,.545,43,64,.672,11,35,.314,16,21,.762,135,38,86,.442,22,40,.550,16,46,.348,21,25,.840,113
76,CHO,2019-01-19,135,,PHO,W 135-115,240,48,88,.545,32,54,.593,16,34,.471,23,27,.852,135,39,87,.448,28,54,.519,11,33,.333,26,33,.788,115
77,DEN,2019-01-17,135,,CHI,W 135-105,240,50,96,.521,30,56,.536,20,40,.500,15,20,.750,135,44,93,.473,34,65,.523,10,28,.357,7,11,.636,105
78,BOS,2019-01-09,135,,IND,W 135-108,240,50,88,.568,36,56,.643,14,32,.438,21,24,.875,135,39,91,.429,30,63,.476,9,28,.321,21,33,.636,108
79,HOU,2019-01-03,135,@,GSW,W 135-134 (OT),265,45,99,.455,24,45,.533,21,54,.389,24,28,.857,135,53,102,.520,39,65,.600,14,37,.378,14,15,.933,134
80,WAS,2018-11-26,135,,HOU,W 135-131 (OT),265,50,89,.562,39,60,.650,11,29,.379,24,32,.750,135,46,97,.474,28,49,.571,18,48,.375,21,27,.778,131
81,MIL,2018-11-24,135,,SAS,W 135-129,240,49,86,.570,34,46,.739,15,40,.375,22,29,.759,135,49,92,.533,39,71,.549,10,21,.476,21,28,.750,129
82,CHO,2018-10-26,135,,CHI,W 135-106,240,53,93,.570,39,61,.639,14,32,.438,15,16,.938,135,37,85,.435,21,49,.429,16,36,.444,16,22,.727,106
83,ATL,2019-04-10,134,,IND,L 134-135,240,43,103,.417,26,62,.419,17,41,.415,31,38,.816,134,45,98,.459,33,68,.485,12,30,.400,33,39,.846,135
84,LAC,2019-02-13,134,,PHO,W 134-107,240,50,84,.595,39,62,.629,11,22,.500,23,30,.767,134,40,86,.465,32,56,.571,8,30,.267,19,25,.760,107
85,WAS,2019-02-09,134,@,CHI,W 134-125,240,55,95,.579,43,68,.632,12,27,.444,12,14,.857,134,49,97,.505,43,74,.581,6,23,.261,21,28,.750,125
86,BOS,2019-02-03,134,,OKC,W 134-129,240,54,91,.593,41,57,.719,13,34,.382,13,17,.765,134,45,92,.489,31,57,.544,14,35,.400,25,34,.735,129
87,LAL,2019-01-19,134,@,HOU,L 134-138 (OT),265,50,96,.521,40,59,.678,10,37,.270,24,30,.800,134,42,100,.420,17,32,.531,25,68,.368,29,36,.806,138
88,GSW,2019-01-03,134,,HOU,L 134-135 (OT),265,53,102,.520,39,65,.600,14,37,.378,14,15,.933,134,45,99,.455,24,45,.533,21,54,.389,24,28,.857,135
89,BRK,2018-12-26,134,,CHO,W 134-132 (2OT),290,51,104,.490,32,57,.561,19,47,.404,13,18,.722,134,47,106,.443,32,75,.427,15,31,.484,23,30,.767,132
90,MIL,2018-12-01,134,@,NYK,L 134-136 (OT),265,46,94,.489,28,52,.538,18,42,.429,24,31,.774,134,51,96,.531,31,62,.500,20,34,.588,14,21,.667,136
91,MIL,2018-11-08,134,@,GSW,W 134-111,240,52,101,.515,43,66,.652,9,35,.257,21,27,.778,134,42,87,.483,32,59,.542,10,28,.357,17,22,.773,111
92,OKC,2018-11-02,134,@,WAS,W 134-111,240,49,86,.570,34,54,.630,15,32,.469,21,26,.808,134,44,86,.512,35,56,.625,9,30,.300,14,18,.778,111
93,NOP,2019-04-07,133,@,SAC,W 133-129,240,52,101,.515,33,59,.559,19,42,.452,10,12,.833,133,50,109,.459,34,69,.493,16,40,.400,13,17,.765,129
94,BRK,2019-04-06,133,@,MIL,W 133-128,240,48,97,.495,29,52,.558,19,45,.422,18,23,.783,133,49,88,.557,33,54,.611,16,34,.471,14,21,.667,128
95,PHO,2019-04-05,133,,NOP,W 133-126 (OT),265,51,104,.490,37,68,.544,14,36,.389,17,21,.810,133,49,101,.485,41,78,.526,8,23,.348,20,27,.741,126
96,DEN,2019-03-12,133,,MIN,W 133-107,240,51,85,.600,33,55,.600,18,30,.600,13,15,.867,133,41,89,.461,30,59,.508,11,30,.367,14,14,1.000,107
97,MIL,2019-01-13,133,@,ATL,W 133-114,240,49,92,.533,38,62,.613,11,30,.367,24,33,.727,133,39,96,.406,27,58,.466,12,38,.316,24,30,.800,114
98,NOP,2019-01-05,133,@,CLE,W 133-98,240,47,81,.580,33,54,.611,14,27,.519,25,29,.862,133,36,88,.409,24,55,.436,12,33,.364,14,18,.778,98
99,BOS,2018-12-08,133,@,CHI,W 133-77,240,50,93,.538,28,50,.560,22,43,.512,11,15,.733,133,31,81,.383,25,57,.439,6,24,.250,9,14,.643,77
100,SAS,2018-12-07,133,,LAL,W 133-120,240,46,91,.505,33,60,.550,13,31,.419,28,33,.848,133,46,100,.460,35,64,.547,11,36,.306,17,21,.810,120
101,LAC,2018-11-29,133,@,SAC,W 133-121,240,50,90,.556,38,62,.613,12,28,.429,21,28,.750,133,46,96,.479,39,72,.542,7,24,.292,22,26,.846,121
102,UTA,2018-11-25,133,@,SAC,W 133-112,240,49,92,.533,39,62,.629,10,30,.333,25,33,.758,133,40,85,.471,31,62,.500,9,23,.391,23,31,.742,112
103,PHI,2018-11-09,133,,CHO,W 133-132 (OT),265,45,94,.479,33,57,.579,12,37,.324,31,41,.756,133,43,110,.391,27,70,.386,16,40,.400,30,40,.750,132
104,LAC,2018-10-26,133,@,HOU,W 133-113,240,43,79,.544,31,56,.554,12,23,.522,35,38,.921,133,38,98,.388,23,57,.404,15,41,.366,22,25,.880,113
105,DET,2018-10-23,133,,PHI,W 133-132 (OT),265,51,108,.472,39,75,.520,12,33,.364,19,27,.704,133,49,98,.500,35,55,.636,14,43,.326,20,28,.714,132
106,ATL,2018-10-21,133,@,CLE,W 133-111,240,48,98,.490,26,51,.510,22,47,.468,15,19,.789,133,46,99,.465,36,72,.500,10,27,.370,9,14,.643,111
107,MEM,2019-04-10,132,,GSW,W 132-117,240,48,98,.490,27,52,.519,21,46,.457,15,18,.833,132,46,92,.500,33,62,.532,13,30,.433,12,14,.857,117
108,OKC,2019-04-07,132,@,MIN,W 132-126,240,48,92,.522,34,58,.586,14,34,.412,22,26,.846,132,46,85,.541,36,62,.581,10,23,.435,24,29,.828,126
109,POR,2019-04-01,132,@,MIN,W 132-122,240,50,91,.549,35,61,.574,15,30,.500,17,24,.708,132,47,96,.490,36,67,.537,11,29,.379,17,19,.895,122
110,LAC,2019-03-30,132,,CLE,W 132-108,240,53,85,.624,38,52,.731,15,33,.455,11,16,.688,132,41,92,.446,38,69,.551,3,23,.130,23,28,.821,108
111,ATL,2019-03-13,132,,MEM,W 132-111,240,52,103,.505,35,58,.603,17,45,.378,11,14,.786,132,38,89,.427,24,49,.490,14,40,.350,21,26,.808,111
112,WAS,2019-03-06,132,,DAL,W 132-123,240,50,93,.538,38,60,.633,12,33,.364,20,25,.800,132,45,93,.484,30,52,.577,15,41,.366,18,28,.643,123
113,OKC,2019-02-05,132,,ORL,W 132-122,240,46,92,.500,33,62,.532,13,30,.433,27,37,.730,132,42,90,.467,31,53,.585,11,37,.297,27,34,.794,122
114,POR,2019-01-30,132,,UTA,W 132-105,240,48,90,.533,32,58,.552,16,32,.500,20,23,.870,132,38,85,.447,27,51,.529,11,34,.324,18,21,.857,105
115,GSW,2019-01-28,132,@,IND,W 132-100,240,53,98,.541,40,67,.597,13,31,.419,13,16,.813,132,40,94,.426,28,64,.438,12,30,.400,8,10,.800,100
116,SAS,2019-01-27,132,,WAS,W 132-119,240,49,86,.570,33,52,.635,16,34,.471,18,21,.857,132,40,89,.449,22,43,.512,18,46,.391,21,29,.724,119
