Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,DET,2015-12-18,147,@,CHI,W 147-144 (4OT),340,56,124,.452,48,95,.505,8,29,.276,27,46,.587,147,50,120,.417,45,98,.459,5,22,.227,39,44,.886,144
2,MIN,2016-04-13,144,,NOP,W 144-109,240,56,86,.651,43,58,.741,13,28,.464,19,23,.826,144,40,92,.435,29,62,.468,11,30,.367,18,22,.818,109
3,CHI,2015-12-18,144,,DET,L 144-147 (4OT),340,50,120,.417,45,98,.459,5,22,.227,39,44,.886,144,56,124,.452,48,95,.505,8,29,.276,27,46,.587,147
4,SAC,2016-01-02,142,,PHO,W 142-119,240,53,87,.609,44,64,.688,9,23,.391,27,34,.794,142,43,83,.518,33,54,.611,10,29,.345,23,28,.821,119
5,LAC,2016-01-18,140,,HOU,W 140-132 (OT),265,47,91,.516,25,54,.463,22,37,.595,24,33,.727,140,44,88,.500,33,56,.589,11,32,.344,33,52,.635,132
6,ORL,2016-03-29,139,,BRK,W 139-105,240,56,91,.615,42,64,.656,14,27,.519,13,19,.684,139,37,79,.468,32,65,.492,5,14,.357,26,39,.667,105
7,BOS,2016-02-10,139,,LAC,W 139-134 (OT),265,47,95,.495,34,62,.548,13,33,.394,32,37,.865,139,44,85,.518,32,55,.582,12,30,.400,34,50,.680,134
8,OKC,2015-10-30,139,@,ORL,W 139-136 (2OT),290,50,110,.455,42,83,.506,8,27,.296,31,38,.816,139,47,106,.443,35,73,.479,12,33,.364,30,38,.789,136
9,POR,2016-02-19,137,,GSW,W 137-105,240,52,97,.536,35,67,.522,17,30,.567,16,23,.696,137,36,92,.391,24,58,.414,12,34,.353,21,28,.750,105
10,GSW,2016-04-03,136,,POR,W 136-111,240,50,88,.568,32,58,.552,18,30,.600,18,22,.818,136,38,85,.447,29,61,.475,9,24,.375,26,33,.788,111
11,ORL,2015-10-30,136,,OKC,L 136-139 (2OT),290,47,106,.443,35,73,.479,12,33,.364,30,38,.789,136,50,110,.455,42,83,.506,8,27,.296,31,38,.816,139
12,GSW,2015-11-27,135,@,PHO,W 135-116,240,46,81,.568,24,43,.558,22,38,.579,21,31,.677,135,45,92,.489,35,66,.530,10,26,.385,16,23,.696,116
