Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,DAL,2015-04-10,144,@,DEN,W 144-143 (2OT),290,57,109,.523,46,80,.575,11,29,.379,19,24,.792,144,53,125,.424,38,82,.463,15,43,.349,22,25,.880,143
2,DEN,2015-04-10,143,,DAL,L 143-144 (2OT),290,53,125,.424,38,82,.463,15,43,.349,22,25,.880,143,57,109,.523,46,80,.575,11,29,.379,19,24,.792,144
3,DAL,2014-11-21,140,,LAL,W 140-106,240,51,82,.622,33,47,.702,18,35,.514,20,28,.714,140,44,85,.518,39,72,.542,5,13,.385,13,21,.619,106
4,NOP,2014-11-14,139,,MIN,W 139-91,240,56,84,.667,41,64,.641,15,20,.750,12,16,.750,139,29,72,.403,26,58,.448,3,14,.214,30,41,.732,91
5,OKC,2015-04-15,138,@,MIN,W 138-113,240,52,95,.547,40,67,.597,12,28,.429,22,31,.710,138,39,84,.464,33,65,.508,6,19,.316,29,35,.829,113
6,OKC,2014-12-31,137,,PHO,W 137-134 (OT),265,41,99,.414,30,64,.469,11,35,.314,44,49,.898,137,46,90,.511,33,63,.524,13,27,.481,29,35,.829,134
7,GSW,2014-11-16,136,@,LAL,W 136-115,240,46,86,.535,32,58,.552,14,28,.500,30,34,.882,136,39,99,.394,36,83,.434,3,16,.188,34,43,.791,115
8,DAL,2015-04-01,135,@,OKC,W 135-131,240,56,91,.615,52,76,.684,4,15,.267,19,24,.792,135,45,93,.484,31,62,.500,14,31,.452,27,33,.818,131
9,SAC,2014-12-27,135,,NYK,W 135-129 (OT),265,49,89,.551,41,73,.562,8,16,.500,29,33,.879,135,48,97,.495,42,77,.545,6,20,.300,27,32,.844,129
10,PHO,2014-12-31,134,@,OKC,L 134-137 (OT),265,46,90,.511,33,63,.524,13,27,.481,29,35,.829,134,41,99,.414,30,64,.469,11,35,.314,44,49,.898,137
11,GSW,2015-04-15,133,,DEN,W 133-126,240,47,90,.522,34,62,.548,13,28,.464,26,34,.765,133,45,83,.542,39,65,.600,6,18,.333,30,36,.833,126
12,WAS,2014-12-08,133,,BOS,W 133-132 (2OT),290,49,94,.521,42,78,.538,7,16,.438,28,34,.824,133,47,102,.461,38,80,.475,9,22,.409,29,32,.906,132
13,BOS,2014-12-08,132,@,WAS,L 132-133 (2OT),290,47,102,.461,38,80,.475,9,22,.409,29,32,.906,132,49,94,.521,42,78,.538,7,16,.438,28,34,.824,133
14,DAL,2014-12-02,132,@,CHI,W 132-129 (2OT),290,47,102,.461,32,72,.444,15,30,.500,23,27,.852,132,47,103,.456,39,77,.506,8,26,.308,27,34,.794,129
15,ATL,2015-04-04,131,,BRK,W 131-99,240,49,82,.598,32,49,.653,17,33,.515,16,19,.842,131,39,80,.488,29,57,.509,10,23,.435,11,17,.647,99
16,OKC,2015-04-01,131,,DAL,L 131-135,240,45,93,.484,31,62,.500,14,31,.452,27,33,.818,131,56,91,.615,52,76,.684,4,15,.267,19,24,.792,135
17,OKC,2015-02-08,131,,LAC,W 131-108,240,46,88,.523,38,68,.559,8,20,.400,31,38,.816,131,42,90,.467,30,58,.517,12,32,.375,12,17,.706,108
18,GSW,2015-01-17,131,@,HOU,W 131-106,240,50,91,.549,41,69,.594,9,22,.409,22,33,.667,131,37,88,.420,30,65,.462,7,23,.304,25,34,.735,106
19,DAL,2014-11-15,131,,MIN,W 131-117,240,52,94,.553,44,68,.647,8,26,.308,19,23,.826,131,43,86,.500,36,69,.522,7,17,.412,24,29,.828,117
20,SAC,2014-11-05,131,,DEN,W 131-109,240,42,76,.553,34,56,.607,8,20,.400,39,50,.780,131,37,82,.451,28,54,.519,9,28,.321,26,31,.839,109
21,SAS,2015-03-25,130,,OKC,W 130-91,240,51,88,.580,38,67,.567,13,21,.619,15,19,.789,130,36,90,.400,30,72,.417,6,18,.333,13,14,.929,91
22,ATL,2015-03-09,130,,SAC,W 130-105,240,53,88,.602,33,52,.635,20,36,.556,4,7,.571,130,39,81,.481,31,61,.508,8,20,.400,19,20,.950,105
23,POR,2014-11-12,130,@,DEN,W 130-113,240,45,88,.511,29,55,.527,16,33,.485,24,29,.828,130,39,90,.433,31,67,.463,8,23,.348,27,33,.818,113
24,BRK,2015-03-20,129,,MIL,W 129-127 (3OT),315,46,107,.430,35,82,.427,11,25,.440,26,34,.765,129,49,129,.380,41,113,.363,8,16,.500,21,29,.724,127
25,DAL,2015-03-13,129,,LAC,W 129-99,240,51,84,.607,35,56,.625,16,28,.571,11,16,.688,129,41,82,.500,29,50,.580,12,32,.375,5,12,.417,99
26,CLE,2015-01-23,129,,CHO,W 129-90,240,46,89,.517,31,61,.508,15,28,.536,22,28,.786,129,36,89,.404,34,73,.466,2,16,.125,16,24,.667,90
27,NYK,2014-12-27,129,@,SAC,L 129-135 (OT),265,48,97,.495,42,77,.545,6,20,.300,27,32,.844,129,49,89,.551,41,73,.562,8,16,.500,29,33,.879,135
28,CHI,2014-12-22,129,,TOR,W 129-120,240,40,74,.541,34,62,.548,6,12,.500,43,47,.915,129,44,100,.440,35,70,.500,9,30,.300,23,32,.719,120
29,POR,2014-12-19,129,@,SAS,W 129-119 (3OT),315,47,110,.427,34,75,.453,13,35,.371,22,23,.957,129,45,109,.413,37,89,.416,8,20,.400,21,26,.808,119
30,CHI,2014-12-02,129,,DAL,L 129-132 (2OT),290,47,103,.456,39,77,.506,8,26,.308,27,34,.794,129,47,102,.461,32,72,.444,15,30,.500,23,27,.852,132
31,LAL,2014-11-30,129,,TOR,W 129-122 (OT),265,47,96,.490,37,72,.514,10,24,.417,25,34,.735,129,45,104,.433,36,70,.514,9,34,.265,23,31,.742,122
32,CLE,2015-03-12,128,@,SAS,W 128-125 (OT),265,44,91,.484,30,65,.462,14,26,.538,26,30,.867,128,49,87,.563,41,61,.672,8,26,.308,19,27,.704,125
33,GSW,2015-02-04,128,,DAL,W 128-114,240,45,86,.523,26,48,.542,19,38,.500,19,25,.760,128,41,98,.418,31,68,.456,10,30,.333,22,28,.786,114
34,DET,2015-01-21,128,,ORL,W 128-118,240,49,94,.521,39,70,.557,10,24,.417,20,24,.833,128,48,97,.495,42,82,.512,6,15,.400,16,16,1.000,118
35,GSW,2014-12-22,128,,SAC,W 128-108,240,49,91,.538,40,66,.606,9,25,.360,21,24,.875,128,43,90,.478,35,73,.479,8,17,.471,14,21,.667,108
36,GSW,2014-12-14,128,@,NOP,W 128-122 (OT),265,44,86,.512,33,62,.532,11,24,.458,29,35,.829,128,47,101,.465,39,74,.527,8,27,.296,20,25,.800,122
37,OKC,2015-03-24,127,,LAL,W 127-117,240,48,86,.558,37,65,.569,11,21,.524,20,23,.870,127,44,85,.518,35,66,.530,9,19,.474,20,27,.741,117
38,MIL,2015-03-20,127,@,BRK,L 127-129 (3OT),315,49,129,.380,41,113,.363,8,16,.500,21,29,.724,127,46,107,.430,35,82,.427,11,25,.440,26,34,.765,129
39,CLE,2015-03-10,127,@,DAL,W 127-94,240,44,87,.506,29,55,.527,15,32,.469,24,29,.828,127,33,81,.407,28,61,.459,5,20,.250,23,33,.697,94
40,CLE,2015-02-20,127,@,WAS,W 127-89,240,46,90,.511,32,57,.561,14,33,.424,21,28,.750,127,38,86,.442,37,70,.529,1,16,.063,12,16,.750,89
41,HOU,2015-02-10,127,@,PHO,W 127-118,240,48,95,.505,33,58,.569,15,37,.405,16,23,.696,127,41,87,.471,29,61,.475,12,26,.462,24,30,.800,118
42,TOR,2015-01-30,127,@,BRK,W 127-122 (OT),265,47,92,.511,40,66,.606,7,26,.269,26,30,.867,127,49,101,.485,45,82,.549,4,19,.211,20,26,.769,122
43,OKC,2015-01-18,127,@,ORL,W 127-99,240,48,83,.578,39,58,.672,9,25,.360,22,32,.688,127,35,88,.398,27,65,.415,8,23,.348,21,27,.778,99
44,OKC,2015-01-16,127,,GSW,W 127-115,240,51,97,.526,41,75,.547,10,22,.455,15,19,.789,127,42,92,.457,33,68,.485,9,24,.375,22,28,.786,115
45,LAC,2015-01-03,127,,PHI,W 127-91,240,46,85,.541,31,48,.646,15,37,.405,20,26,.769,127,32,79,.405,23,54,.426,9,25,.360,18,26,.692,91
46,ATL,2014-12-17,127,@,CLE,W 127-98,240,49,76,.645,33,48,.688,16,28,.571,13,16,.813,127,37,82,.451,29,52,.558,8,30,.267,16,21,.762,98
47,LAC,2014-12-01,127,,MIN,W 127-101,240,41,80,.513,26,46,.565,15,34,.441,30,36,.833,127,35,82,.427,33,70,.471,2,12,.167,29,40,.725,101
48,CLE,2014-11-15,127,,ATL,W 127-94,240,49,90,.544,30,59,.508,19,31,.613,10,13,.769,127,40,90,.444,37,68,.544,3,22,.136,11,13,.846,94
49,GSW,2014-11-01,127,,LAL,W 127-104,240,46,83,.554,35,60,.583,11,23,.478,24,28,.857,127,41,88,.466,37,74,.500,4,14,.286,18,25,.720,104
50,DEN,2015-04-15,126,@,GSW,L 126-133,240,45,83,.542,39,65,.600,6,18,.333,30,36,.833,126,47,90,.522,34,62,.548,13,28,.464,26,34,.765,133
51,LAC,2015-04-01,126,@,POR,W 126-122,240,46,86,.535,31,58,.534,15,28,.536,19,24,.792,126,45,89,.506,32,64,.500,13,25,.520,19,25,.760,122
52,LAC,2015-02-21,126,,SAC,W 126-99,240,46,95,.484,32,60,.533,14,35,.400,20,28,.714,126,30,88,.341,26,72,.361,4,16,.250,35,46,.761,99
53,GSW,2015-01-23,126,,SAC,W 126-101,240,45,94,.479,28,54,.519,17,40,.425,19,22,.864,126,34,82,.415,30,65,.462,4,17,.235,29,34,.853,101
54,GSW,2015-01-21,126,,HOU,W 126-113,240,49,98,.500,36,69,.522,13,29,.448,15,18,.833,126,37,87,.425,24,55,.436,13,32,.406,26,31,.839,113
55,CLE,2015-01-16,126,@,LAC,W 126-121,240,46,83,.554,36,60,.600,10,23,.435,24,31,.774,126,43,91,.473,33,62,.532,10,29,.345,25,36,.694,121
56,GSW,2015-01-02,126,,TOR,W 126-105,240,49,92,.533,37,64,.578,12,28,.429,16,20,.800,126,40,86,.465,30,61,.492,10,25,.400,15,20,.750,105
57,GSW,2014-12-30,126,,PHI,W 126-86,240,46,82,.561,34,54,.630,12,28,.429,22,27,.815,126,33,86,.384,27,66,.409,6,20,.300,14,23,.609,86
58,TOR,2014-11-26,126,@,ATL,W 126-115,240,42,82,.512,28,53,.528,14,29,.483,28,33,.848,126,42,82,.512,32,58,.552,10,24,.417,21,24,.875,115
59,GSW,2015-03-14,125,,NYK,W 125-94,240,45,90,.500,26,56,.464,19,34,.559,16,17,.941,125,38,96,.396,29,71,.408,9,25,.360,9,16,.563,94
60,SAS,2015-03-12,125,,CLE,L 125-128 (OT),265,49,87,.563,41,61,.672,8,26,.308,19,27,.704,125,44,91,.484,30,65,.462,14,26,.538,26,30,.867,128
61,PHO,2015-01-04,125,,TOR,W 125-109,240,48,89,.539,40,66,.606,8,23,.348,21,28,.750,125,38,83,.458,29,57,.509,9,26,.346,24,29,.828,109
62,CLE,2014-12-23,125,,MIN,W 125-104,240,44,84,.524,32,60,.533,12,24,.500,25,31,.806,125,39,88,.443,35,75,.467,4,13,.308,22,29,.759,104
63,SAS,2014-12-22,125,,LAC,W 125-118,240,49,77,.636,36,54,.667,13,23,.565,14,22,.636,125,43,86,.500,33,62,.532,10,24,.417,22,29,.759,118
64,DAL,2014-12-07,125,,MIL,W 125-102,240,49,84,.583,37,53,.698,12,31,.387,15,19,.789,125,42,84,.500,38,69,.551,4,15,.267,14,17,.824,102
65,SAC,2015-03-03,124,@,NYK,W 124-86,240,41,83,.494,31,65,.477,10,18,.556,32,37,.865,124,30,82,.366,26,60,.433,4,22,.182,22,30,.733,86
66,OKC,2015-02-09,124,@,DEN,W 124-114,240,43,80,.538,31,56,.554,12,24,.500,26,35,.743,124,42,87,.483,33,59,.559,9,28,.321,21,29,.724,114
67,ATL,2015-02-06,124,,GSW,W 124-116,240,38,77,.494,23,50,.460,15,27,.556,33,37,.892,124,47,103,.456,35,70,.500,12,33,.364,10,15,.667,116
68,PHO,2014-12-23,124,,DAL,W 124-115,240,44,97,.454,31,64,.484,13,33,.394,23,32,.719,124,41,88,.466,32,63,.508,9,25,.360,24,29,.828,115
69,TOR,2014-11-21,124,,MIL,W 124-82,240,45,86,.523,30,61,.492,15,25,.600,19,24,.792,124,27,74,.365,21,54,.389,6,20,.300,22,32,.688,82
70,GSW,2015-04-04,123,@,DAL,W 123-110,240,43,95,.453,29,59,.492,14,36,.389,23,32,.719,123,34,80,.425,31,64,.484,3,16,.188,39,54,.722,110
71,SAS,2015-04-03,123,,DEN,W 123-93,240,47,85,.553,33,51,.647,14,34,.412,15,17,.882,123,40,87,.460,34,70,.486,6,17,.353,7,11,.636,93
72,BRK,2015-03-21,123,@,IND,W 123-111,240,46,75,.613,40,63,.635,6,12,.500,25,31,.806,123,45,90,.500,37,67,.552,8,23,.348,13,18,.722,111
