Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,WAS,2021-05-03,154,,IND,W 154-141,240,63,103,.612,54,81,.667,9,22,.409,19,24,.792,154,53,107,.495,39,80,.488,14,27,.519,21,25,.840,141
2,UTA,2021-04-28,154,@,SAC,W 154-105,240,55,86,.640,31,45,.689,24,41,.585,20,21,.952,154,42,87,.483,35,66,.530,7,21,.333,14,17,.824,105
3,IND,2021-05-01,152,@,OKC,W 152-95,240,57,87,.655,36,54,.667,21,33,.636,17,22,.773,152,38,111,.342,30,73,.411,8,38,.211,11,23,.478,95
4,WAS,2021-01-31,149,,BRK,W 149-146,240,56,108,.519,44,69,.638,12,39,.308,25,32,.781,149,50,88,.568,31,52,.596,19,36,.528,27,33,.818,146
5,GSW,2021-04-14,147,@,OKC,W 147-109,240,52,95,.547,28,48,.583,24,47,.511,19,23,.826,147,44,92,.478,37,65,.569,7,27,.259,14,25,.560,109
6,GSW,2021-02-04,147,@,DAL,W 147-116,240,51,89,.573,29,46,.630,22,43,.512,23,27,.852,147,38,92,.413,18,42,.429,20,50,.400,20,23,.870,116
7,BRK,2021-01-29,147,@,OKC,W 147-125,240,57,100,.570,38,55,.691,19,45,.422,14,16,.875,147,40,86,.465,24,48,.500,16,38,.421,29,34,.853,125
8,CLE,2021-01-20,147,,BRK,W 147-135 (2OT),290,56,109,.514,36,69,.522,20,40,.500,15,21,.714,147,48,106,.453,33,65,.508,15,41,.366,24,27,.889,135
9,SAS,2021-05-10,146,,MIL,W 146-125,240,56,94,.596,39,65,.600,17,29,.586,17,21,.810,146,47,94,.500,34,53,.642,13,41,.317,18,23,.783,125
10,SAS,2021-04-26,146,@,WAS,W 146-143 (OT),265,55,103,.534,49,86,.570,6,17,.353,30,35,.857,146,58,109,.532,52,89,.584,6,20,.300,21,25,.840,143
11,BRK,2021-01-31,146,@,WAS,L 146-149,240,50,88,.568,31,52,.596,19,36,.528,27,33,.818,146,56,108,.519,44,69,.638,12,39,.308,25,32,.781,149
12,BOS,2021-04-09,145,,MIN,W 145-136 (OT),265,47,87,.540,28,45,.622,19,42,.452,32,34,.941,145,47,96,.490,32,54,.593,15,42,.357,27,30,.900,136
13,BRK,2020-12-30,145,,ATL,W 145-141,240,54,100,.540,35,59,.593,19,41,.463,18,23,.783,145,47,99,.475,29,53,.547,18,46,.391,29,35,.829,141
14,NOP,2021-02-16,144,@,MEM,W 144-113,240,56,91,.615,37,53,.698,19,38,.500,13,17,.765,144,42,88,.477,29,57,.509,13,31,.419,16,18,.889,113
15,TOR,2021-01-08,144,@,SAC,W 144-123,240,53,91,.582,33,52,.635,20,39,.513,18,22,.818,144,46,81,.568,31,47,.660,15,34,.441,16,28,.571,123
16,MIL,2020-12-29,144,@,MIA,W 144-97,240,51,92,.554,22,41,.537,29,51,.569,13,15,.867,144,37,79,.468,26,42,.619,11,37,.297,12,18,.667,97
17,BOS,2021-04-30,143,,SAS,W 143-140 (OT),265,49,105,.467,31,67,.463,18,38,.474,27,36,.750,143,49,92,.533,38,68,.559,11,24,.458,31,38,.816,140
18,HOU,2021-04-29,143,,MIL,W 143-136,240,49,98,.500,24,52,.462,25,46,.543,20,24,.833,143,49,93,.527,33,54,.611,16,39,.410,22,25,.880,136
19,WAS,2021-04-26,143,,SAS,L 143-146 (OT),265,58,109,.532,52,89,.584,6,20,.300,21,25,.840,143,55,103,.534,49,86,.570,6,17,.353,30,35,.857,146
20,DAL,2021-02-12,143,,NOP,W 143-130,240,51,88,.580,26,43,.605,25,45,.556,16,21,.762,143,48,90,.533,31,53,.585,17,37,.459,17,23,.739,130
21,MIL,2021-05-13,142,@,IND,W 142-133,240,54,94,.574,43,64,.672,11,30,.367,23,31,.742,142,50,110,.455,29,67,.433,21,43,.488,12,15,.800,133
22,MIL,2021-05-07,141,,HOU,W 141-133,240,51,95,.537,32,49,.653,19,46,.413,20,23,.870,141,48,96,.500,23,43,.535,25,53,.472,12,18,.667,133
23,POR,2021-05-05,141,@,CLE,W 141-105,240,53,92,.576,37,59,.627,16,33,.485,19,25,.760,141,37,92,.402,24,54,.444,13,38,.342,18,26,.692,105
24,IND,2021-05-03,141,@,WAS,L 141-154,240,53,107,.495,39,80,.488,14,27,.519,21,25,.840,141,63,103,.612,54,81,.667,9,22,.409,19,24,.792,154
25,IND,2021-04-07,141,,MIN,W 141-137,240,55,93,.591,41,65,.631,14,28,.500,17,19,.895,141,48,91,.527,38,63,.603,10,28,.357,31,40,.775,137
26,SAC,2021-03-25,141,,GSW,W 141-119,240,53,89,.596,34,51,.667,19,38,.500,16,19,.842,141,45,88,.511,28,56,.500,17,32,.531,12,12,1.000,119
27,BOS,2021-01-24,141,,CLE,W 141-103,240,52,93,.559,38,65,.585,14,28,.500,23,27,.852,141,34,85,.400,24,52,.462,10,33,.303,25,34,.735,103
28,PHI,2021-01-06,141,,WAS,W 141-136,240,50,81,.617,32,52,.615,18,29,.621,23,33,.697,141,47,94,.500,31,57,.544,16,37,.432,26,35,.743,136
29,ATL,2020-12-30,141,@,BRK,L 141-145,240,47,99,.475,29,53,.547,18,46,.391,29,35,.829,141,54,100,.540,35,59,.593,19,41,.463,18,23,.783,145
30,PHO,2021-05-15,140,@,SAS,W 140-103,240,52,94,.553,37,61,.607,15,33,.455,21,22,.955,140,39,88,.443,35,62,.565,4,26,.154,21,24,.875,103
31,POR,2021-05-10,140,,HOU,W 140-129,240,47,92,.511,29,52,.558,18,40,.450,28,35,.800,140,42,85,.494,24,47,.511,18,38,.474,27,28,.964,129
32,NOP,2021-05-01,140,@,MIN,W 140-136 (OT),265,47,92,.511,33,56,.589,14,36,.389,32,46,.696,140,48,106,.453,33,58,.569,15,48,.313,25,32,.781,136
33,SAS,2021-04-30,140,@,BOS,L 140-143 (OT),265,49,92,.533,38,68,.559,11,24,.458,31,38,.816,140,49,105,.467,31,67,.463,18,38,.474,27,36,.750,143
34,PHO,2021-04-02,140,,OKC,W 140-103,240,54,90,.600,39,57,.684,15,33,.455,17,21,.810,140,35,89,.393,20,51,.392,15,38,.395,18,23,.783,103
35,MIL,2021-03-22,140,,IND,W 140-113,240,53,94,.564,29,55,.527,24,39,.615,10,15,.667,140,45,111,.405,33,61,.541,12,50,.240,11,12,.917,113
36,NYK,2021-02-25,140,,SAC,W 140-121,240,51,87,.586,32,51,.627,19,36,.528,19,21,.905,140,42,85,.494,30,50,.600,12,35,.343,25,33,.758,121
37,MEM,2021-05-05,139,@,MIN,W 139-135,240,52,97,.536,38,68,.559,14,29,.483,21,28,.750,139,49,94,.521,30,55,.545,19,39,.487,18,22,.818,135
38,DEN,2021-04-19,139,,MEM,W 139-137 (2OT),290,51,102,.500,36,63,.571,15,39,.385,22,26,.846,139,51,107,.477,34,67,.507,17,40,.425,18,24,.750,137
39,BRK,2021-04-07,139,,NOP,W 139-111,240,51,92,.554,32,51,.627,19,41,.463,18,22,.818,139,38,89,.427,32,62,.516,6,27,.222,29,39,.744,111
40,IND,2021-04-03,139,@,SAS,W 139-133 (OT),265,52,94,.553,40,65,.615,12,29,.414,23,26,.885,139,48,99,.485,38,70,.543,10,29,.345,27,32,.844,133
41,MIL,2021-02-23,139,,MIN,W 139-112,240,53,99,.535,33,57,.579,20,42,.476,13,18,.722,139,42,98,.429,23,44,.523,19,54,.352,9,9,1.000,112
42,UTA,2021-02-05,138,@,CHO,W 138-121,240,48,87,.552,22,37,.595,26,50,.520,16,18,.889,138,48,104,.462,37,69,.536,11,35,.314,14,17,.824,121
43,LAC,2021-01-15,138,@,SAC,W 138-100,240,52,89,.584,34,54,.630,18,35,.514,16,20,.800,138,40,85,.471,32,59,.542,8,26,.308,12,17,.706,100
44,LAL,2020-12-25,138,,DAL,W 138-115,240,51,91,.560,32,52,.615,19,39,.487,17,24,.708,138,41,83,.494,28,51,.549,13,32,.406,20,26,.769,115
45,MIL,2020-12-25,138,,GSW,W 138-99,240,50,90,.556,30,54,.556,20,36,.556,18,26,.692,138,34,99,.343,24,54,.444,10,45,.222,21,25,.840,99
46,NYK,2021-04-21,137,,ATL,W 137-127 (OT),265,49,91,.538,30,56,.536,19,35,.543,20,25,.800,137,49,102,.480,37,68,.544,12,34,.353,17,24,.708,127
47,MEM,2021-04-19,137,@,DEN,L 137-139 (2OT),290,51,107,.477,34,67,.507,17,40,.425,18,24,.750,137,51,102,.500,36,63,.571,15,39,.385,22,26,.846,139
48,MIN,2021-04-07,137,@,IND,L 137-141,240,48,91,.527,38,63,.603,10,28,.357,31,40,.775,137,55,93,.591,41,65,.631,14,28,.500,17,19,.895,141
49,UTA,2021-04-03,137,,ORL,W 137-91,240,51,92,.554,25,37,.676,26,55,.473,9,12,.750,137,32,87,.368,30,64,.469,2,23,.087,25,31,.806,91
50,IND,2021-03-19,137,@,MIA,W 137-110,240,52,89,.584,32,53,.604,20,36,.556,13,19,.684,137,41,92,.446,32,58,.552,9,34,.265,19,20,.950,110
51,LAL,2021-03-16,137,,MIN,W 137-121,240,50,87,.575,37,61,.607,13,26,.500,24,28,.857,137,47,90,.522,36,55,.655,11,35,.314,16,22,.727,121
52,TOR,2021-02-10,137,@,WAS,W 137-115,240,49,93,.527,30,61,.492,19,32,.594,20,23,.870,137,42,93,.452,30,52,.577,12,41,.293,19,23,.826,115
53,PHI,2021-01-12,137,,MIA,W 137-134 (OT),265,50,102,.490,31,47,.660,19,55,.345,18,25,.720,137,48,104,.462,29,48,.604,19,56,.339,19,24,.792,134
