Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,CHI,2019-03-01,168,@,ATL,1,340,56,119,0.471,35,71,0.493,21,48,0.438,35,48,0.729,168,61,123,0.496,39,63,0.619,22,60,0.367,17,25,0.68,161
2,ATL,2019-03-01,161,,CHI,0,340,61,123,0.496,39,63,0.619,22,60,0.367,17,25,0.68,161,56,119,0.471,35,71,0.493,21,48,0.438,35,48,0.729,168
3,SAS,2019-01-10,154,,OKC,1,290,56,99,0.566,40,80,0.5,16,19,0.842,26,29,0.897,154,58,114,0.509,43,79,0.544,15,35,0.429,16,24,0.667,147
4,HOU,2019-04-07,149,,PHO,1,240,53,100,0.53,26,43,0.605,27,57,0.474,16,21,0.762,149,43,93,0.462,32,59,0.542,11,34,0.324,16,21,0.762,113
5,ORL,2019-04-05,149,,ATL,1,240,56,92,0.609,38,55,0.691,18,37,0.486,19,25,0.76,149,41,94,0.436,31,55,0.564,10,39,0.256,21,31,0.677,113
6,PHI,2019-01-15,149,,MIN,1,240,55,92,0.598,34,49,0.694,21,43,0.488,18,21,0.857,149,35,90,0.389,27,67,0.403,8,23,0.348,29,35,0.829,107
7,WAS,2018-12-22,149,,PHO,1,315,56,111,0.505,43,75,0.573,13,36,0.361,24,27,0.889,149,55,115,0.478,44,80,0.55,11,35,0.314,25,33,0.758,146
8,GSW,2018-10-29,149,@,CHI,1,240,53,96,0.552,29,51,0.569,24,45,0.533,19,26,0.731,149,46,94,0.489,35,59,0.593,11,35,0.314,21,34,0.618,124
9,NOP,2018-10-19,149,,SAC,1,240,56,95,0.589,40,64,0.625,16,31,0.516,21,33,0.636,149,50,96,0.521,40,71,0.563,10,25,0.4,19,26,0.731,129
10,POR,2019-03-25,148,,BRK,1,290,53,121,0.438,39,76,0.513,14,45,0.311,28,36,0.778,148,49,103,0.476,34,61,0.557,15,42,0.357,31,44,0.705,144
11,OKC,2019-02-22,148,,UTA,1,290,55,118,0.466,37,74,0.5,18,44,0.409,20,25,0.8,148,52,105,0.495,34,65,0.523,18,40,0.45,25,31,0.806,147
12,BRK,2019-02-13,148,@,CLE,1,315,52,113,0.46,34,68,0.5,18,45,0.4,26,34,0.765,148,54,120,0.45,36,78,0.462,18,42,0.429,13,18,0.722,139
13,MIL,2019-02-06,148,,WAS,1,240,56,93,0.602,37,63,0.587,19,30,0.633,17,26,0.654,148,48,92,0.522,31,55,0.564,17,37,0.459,16,19,0.842,129
14,UTA,2019-02-22,147,@,OKC,0,290,52,105,0.495,34,65,0.523,18,40,0.45,25,31,0.806,147,55,118,0.466,37,74,0.5,18,44,0.409,20,25,0.8,148
15,GSW,2019-01-16,147,,NOP,1,240,49,102,0.48,25,53,0.472,24,49,0.49,25,31,0.806,147,47,98,0.48,28,61,0.459,19,37,0.514,27,33,0.818,140
16,OKC,2019-01-10,147,@,SAS,0,290,58,114,0.509,43,79,0.544,15,35,0.429,16,24,0.667,147,56,99,0.566,40,80,0.5,16,19,0.842,26,29,0.897,154
17,GSW,2019-01-11,146,,CHI,1,240,53,92,0.576,35,53,0.66,18,39,0.462,22,26,0.846,146,35,78,0.449,26,58,0.448,9,20,0.45,30,34,0.882,109
18,PHO,2018-12-22,146,@,WAS,0,315,55,115,0.478,44,80,0.55,11,35,0.314,25,33,0.758,146,56,111,0.505,43,75,0.573,13,36,0.361,24,27,0.889,149
19,SAC,2018-11-01,146,@,ATL,1,240,53,98,0.541,39,63,0.619,14,35,0.4,26,32,0.813,146,42,87,0.483,34,56,0.607,8,31,0.258,23,34,0.676,115
20,BRK,2019-01-16,145,@,HOU,1,265,56,108,0.519,40,72,0.556,16,36,0.444,17,22,0.773,145,45,105,0.429,22,35,0.629,23,70,0.329,29,34,0.853,142
