Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,HOU,2019-10-30,159,@,WAS,1,240,55,103,0.534,32,49,0.653,23,54,0.426,26,33,0.788,159,57,91,0.626,37,55,0.673,20,36,0.556,24,29,0.828,158
2,HOU,2019-11-30,158,,ATL,1,240,52,89,0.584,27,38,0.711,25,51,0.49,29,34,0.853,158,38,89,0.427,23,43,0.535,15,46,0.326,20,25,0.8,111
3,WAS,2019-10-30,158,,HOU,0,240,57,91,0.626,37,55,0.673,20,36,0.556,24,29,0.828,158,55,103,0.534,32,49,0.653,23,54,0.426,26,33,0.788,159
4,HOU,2020-07-31,153,@,DAL,1,265,52,101,0.515,33,53,0.623,19,48,0.396,30,39,0.769,153,50,105,0.476,29,56,0.518,21,49,0.429,28,38,0.737,149
5,ATL,2020-01-26,152,,WAS,1,240,54,93,0.581,39,58,0.672,15,35,0.429,29,34,0.853,152,42,88,0.477,31,55,0.564,11,33,0.333,38,42,0.905,133
6,MIL,2020-01-28,151,,WAS,1,240,50,90,0.556,31,53,0.585,19,37,0.514,32,35,0.914,151,44,94,0.468,30,62,0.484,14,32,0.438,29,34,0.853,131
7,LAC,2019-12-01,150,,WAS,1,240,52,94,0.553,38,62,0.613,14,32,0.438,32,40,0.8,150,47,102,0.461,36,72,0.5,11,30,0.367,20,27,0.741,125
8,LAC,2019-11-16,150,,ATL,1,240,50,93,0.538,33,60,0.55,17,33,0.515,33,35,0.943,150,34,90,0.378,28,66,0.424,6,24,0.25,27,37,0.73,101
9,BOS,2020-08-05,149,,BRK,1,240,50,88,0.568,30,49,0.612,20,39,0.513,29,35,0.829,149,45,95,0.474,37,63,0.587,8,32,0.25,17,21,0.81,115
10,DAL,2020-07-31,149,,HOU,0,265,50,105,0.476,29,56,0.518,21,49,0.429,28,38,0.737,149,52,101,0.515,33,53,0.623,19,48,0.396,30,39,0.769,153
