Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,MIA,2018-03-19,149,,DEN,1,290,56,102,0.549,36,66,0.545,20,36,0.556,17,27,0.63,149,46,100,0.46,28,62,0.452,18,38,0.474,31,37,0.838,141
2,OKC,2018-01-20,148,@,CLE,1,240,58,100,0.58,44,70,0.629,14,30,0.467,18,28,0.643,148,46,89,0.517,36,52,0.692,10,37,0.27,22,27,0.815,124
3,HOU,2017-12-31,148,,LAL,1,290,49,106,0.462,31,54,0.574,18,52,0.346,32,39,0.821,148,53,105,0.505,43,80,0.538,10,25,0.4,26,37,0.703,142
4,DEN,2017-11-17,146,,NOP,1,240,56,89,0.629,38,54,0.704,18,35,0.514,16,21,0.762,146,48,91,0.527,36,58,0.621,12,33,0.364,6,10,0.6,114
5,GSW,2017-11-24,143,,CHI,1,240,53,91,0.582,37,55,0.673,16,36,0.444,21,21,1.0,143,35,99,0.354,22,63,0.349,13,36,0.361,11,15,0.733,94
6,LAL,2017-12-31,142,@,HOU,0,290,53,105,0.505,43,80,0.538,10,25,0.4,26,37,0.703,142,49,106,0.462,31,54,0.574,18,52,0.346,32,39,0.821,148
7,HOU,2017-11-16,142,@,PHO,1,240,43,90,0.478,22,46,0.478,21,44,0.477,35,38,0.921,142,47,104,0.452,37,74,0.5,10,30,0.333,12,21,0.571,116
8,DEN,2018-03-19,141,@,MIA,0,290,46,100,0.46,28,62,0.452,18,38,0.474,31,37,0.838,141,56,102,0.549,36,66,0.545,20,36,0.556,17,27,0.63,149
9,GSW,2017-12-30,141,,MEM,1,240,50,85,0.588,32,52,0.615,18,33,0.545,23,25,0.92,141,49,94,0.521,34,73,0.466,15,21,0.714,15,22,0.682,128
10,GSW,2017-10-30,141,@,LAC,1,240,52,89,0.584,38,60,0.633,14,29,0.483,23,30,0.767,141,39,86,0.453,29,61,0.475,10,25,0.4,25,30,0.833,113
11,CHO,2018-03-22,140,,MEM,1,240,49,92,0.533,30,52,0.577,19,40,0.475,23,27,0.852,140,30,78,0.385,26,60,0.433,4,18,0.222,15,21,0.714,79
12,CLE,2018-02-07,140,,MIN,1,265,52,88,0.591,31,47,0.66,21,41,0.512,15,23,0.652,140,54,93,0.581,35,60,0.583,19,33,0.576,11,12,0.917,138
13,IND,2017-10-18,140,,BRK,1,240,53,102,0.52,44,68,0.647,9,34,0.265,25,32,0.781,140,45,94,0.479,33,64,0.516,12,30,0.4,29,32,0.906,131
14,NOP,2018-02-14,139,,LAL,1,240,53,99,0.535,39,67,0.582,14,32,0.438,19,21,0.905,139,46,90,0.511,36,68,0.529,10,22,0.455,15,18,0.833,117
15,NOP,2018-02-10,138,@,BRK,1,290,52,106,0.491,43,82,0.524,9,24,0.375,25,39,0.641,138,43,114,0.377,22,55,0.4,21,59,0.356,21,22,0.955,128
16,MIN,2018-02-07,138,@,CLE,0,265,54,93,0.581,35,60,0.583,19,33,0.576,11,12,0.917,138,52,88,0.591,31,47,0.66,21,41,0.512,15,23,0.652,140
