Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,DET,2015-12-18,147,@,CHI,1,340,56,124,0.452,48,95,0.505,8,29,0.276,27,46,0.587,147,50,120,0.417,45,98,0.459,5,22,0.227,39,44,0.886,144
2,MIN,2016-04-13,144,,NOP,1,240,56,86,0.651,43,58,0.741,13,28,0.464,19,23,0.826,144,40,92,0.435,29,62,0.468,11,30,0.367,18,22,0.818,109
3,CHI,2015-12-18,144,,DET,0,340,50,120,0.417,45,98,0.459,5,22,0.227,39,44,0.886,144,56,124,0.452,48,95,0.505,8,29,0.276,27,46,0.587,147
4,SAC,2016-01-02,142,,PHO,1,240,53,87,0.609,44,64,0.688,9,23,0.391,27,34,0.794,142,43,83,0.518,33,54,0.611,10,29,0.345,23,28,0.821,119
5,LAC,2016-01-18,140,,HOU,1,265,47,91,0.516,25,54,0.463,22,37,0.595,24,33,0.727,140,44,88,0.5,33,56,0.589,11,32,0.344,33,52,0.635,132
6,ORL,2016-03-29,139,,BRK,1,240,56,91,0.615,42,64,0.656,14,27,0.519,13,19,0.684,139,37,79,0.468,32,65,0.492,5,14,0.357,26,39,0.667,105
7,BOS,2016-02-10,139,,LAC,1,265,47,95,0.495,34,62,0.548,13,33,0.394,32,37,0.865,139,44,85,0.518,32,55,0.582,12,30,0.4,34,50,0.68,134
8,OKC,2015-10-30,139,@,ORL,1,290,50,110,0.455,42,83,0.506,8,27,0.296,31,38,0.816,139,47,106,0.443,35,73,0.479,12,33,0.364,30,38,0.789,136
9,POR,2016-02-19,137,,GSW,1,240,52,97,0.536,35,67,0.522,17,30,0.567,16,23,0.696,137,36,92,0.391,24,58,0.414,12,34,0.353,21,28,0.75,105
10,GSW,2016-04-03,136,,POR,1,240,50,88,0.568,32,58,0.552,18,30,0.6,18,22,0.818,136,38,85,0.447,29,61,0.475,9,24,0.375,26,33,0.788,111
11,ORL,2015-10-30,136,,OKC,0,290,47,106,0.443,35,73,0.479,12,33,0.364,30,38,0.789,136,50,110,0.455,42,83,0.506,8,27,0.296,31,38,0.816,139
12,GSW,2015-11-27,135,@,PHO,1,240,46,81,0.568,24,43,0.558,22,38,0.579,21,31,0.677,135,45,92,0.489,35,66,0.53,10,26,0.385,16,23,0.696,116
13,LAC,2016-02-10,134,@,BOS,0,265,44,85,0.518,32,55,0.582,12,30,0.4,34,50,0.68,134,47,95,0.495,34,62,0.548,13,33,0.394,32,37,0.865,139
14,GSW,2016-02-03,134,@,WAS,1,240,49,93,0.527,29,52,0.558,20,41,0.488,16,29,0.552,134,46,91,0.505,38,68,0.559,8,23,0.348,21,30,0.7,121
15,GSW,2015-10-31,134,@,NOP,1,240,46,84,0.548,29,54,0.537,17,30,0.567,25,35,0.714,134,46,100,0.46,38,78,0.487,8,22,0.364,20,23,0.87,120
16,SAC,2016-03-27,133,,DAL,1,240,51,82,0.622,42,62,0.677,9,20,0.45,22,30,0.733,133,42,88,0.477,34,64,0.531,8,24,0.333,19,24,0.792,111
17,MIN,2016-03-25,132,@,WAS,1,290,51,96,0.531,43,70,0.614,8,26,0.308,22,22,1.0,132,50,100,0.5,37,71,0.521,13,29,0.448,16,23,0.696,129
18,DAL,2016-03-20,132,,POR,1,265,49,89,0.551,34,64,0.531,15,25,0.6,19,23,0.826,132,42,104,0.404,24,58,0.414,18,46,0.391,18,28,0.643,120
