Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,CHO,2022-01-26,158,@,IND,1,240,54,93,0.581,30,48,0.625,24,45,0.533,26,33,0.788,158,44,92,0.478,34,58,0.586,10,34,0.294,28,34,0.824,126
2,SAS,2022-02-25,157,@,WAS,1,290,57,105,0.543,48,76,0.632,9,29,0.31,34,43,0.791,157,59,108,0.546,43,70,0.614,16,38,0.421,19,24,0.792,153
3,LAC,2022-04-01,153,@,MIL,1,240,56,92,0.609,33,49,0.673,23,43,0.535,18,24,0.75,153,50,94,0.532,42,69,0.609,8,25,0.32,11,18,0.611,119
4,WAS,2022-02-25,153,,SAS,0,290,59,108,0.546,43,70,0.614,16,38,0.421,19,24,0.792,153,57,105,0.543,48,76,0.632,9,29,0.31,34,43,0.791,157
5,MEM,2021-12-02,152,,OKC,1,240,60,96,0.625,41,60,0.683,19,36,0.528,13,18,0.722,152,25,76,0.329,14,38,0.368,11,38,0.289,18,22,0.818,79
6,BRK,2022-03-15,150,@,ORL,1,240,53,88,0.602,37,61,0.607,16,27,0.593,28,34,0.824,150,36,95,0.379,21,54,0.389,15,41,0.366,21,27,0.778,108
7,MIN,2022-03-14,149,@,SAS,1,240,52,90,0.578,35,57,0.614,17,33,0.515,28,32,0.875,149,52,97,0.536,39,62,0.629,13,35,0.371,22,26,0.846,139
8,LAL,2022-04-10,146,@,DEN,1,265,44,94,0.468,28,51,0.549,16,43,0.372,42,47,0.894,146,49,100,0.49,34,53,0.642,15,47,0.319,28,36,0.778,141
9,HOU,2021-11-27,146,,CHO,1,265,51,95,0.537,28,46,0.609,23,49,0.469,21,31,0.677,146,48,103,0.466,28,53,0.528,20,50,0.4,27,30,0.9,143
10,BOS,2021-12-04,145,@,POR,1,240,49,87,0.563,28,50,0.56,21,37,0.568,26,29,0.897,145,42,89,0.472,34,60,0.567,8,29,0.276,25,32,0.781,117
11,MIA,2022-04-05,144,,CHO,1,240,48,84,0.571,25,42,0.595,23,42,0.548,25,29,0.862,144,45,85,0.529,33,47,0.702,12,38,0.316,13,18,0.722,115
12,BOS,2022-04-03,144,,WAS,1,240,56,91,0.615,33,47,0.702,23,44,0.523,9,13,0.692,144,38,82,0.463,30,61,0.492,8,21,0.381,18,20,0.9,102
13,PHI,2022-04-02,144,,CHO,1,240,53,87,0.609,32,44,0.727,21,43,0.488,17,21,0.81,144,42,87,0.483,31,57,0.544,11,30,0.367,19,24,0.792,114
14,CLE,2021-12-26,144,,TOR,1,240,56,106,0.528,34,54,0.63,22,52,0.423,10,12,0.833,144,37,89,0.416,28,53,0.528,9,36,0.25,16,23,0.696,99
15,SAS,2021-12-26,144,,DET,1,240,51,91,0.56,38,64,0.594,13,27,0.481,29,37,0.784,144,38,98,0.388,30,66,0.455,8,32,0.25,25,34,0.735,109
16,CHO,2021-11-27,143,@,HOU,0,265,48,103,0.466,28,53,0.528,20,50,0.4,27,30,0.9,143,51,95,0.537,28,46,0.609,23,49,0.469,21,31,0.677,146
17,CHO,2022-03-11,142,@,NOP,1,240,52,87,0.598,30,40,0.75,22,47,0.468,16,20,0.8,142,43,86,0.5,28,47,0.596,15,39,0.385,19,25,0.76,120
18,MIL,2022-03-08,142,@,OKC,1,240,53,100,0.53,33,60,0.55,20,40,0.5,16,20,0.8,142,42,84,0.5,26,45,0.578,16,39,0.41,15,21,0.714,115
19,LAC,2022-02-17,142,,HOU,1,240,51,92,0.554,33,57,0.579,18,35,0.514,22,26,0.846,142,42,91,0.462,29,54,0.537,13,37,0.351,14,19,0.737,111
20,SAC,2021-12-08,142,,ORL,1,240,53,97,0.546,38,63,0.603,15,34,0.441,21,25,0.84,142,48,97,0.495,32,63,0.508,16,34,0.471,18,23,0.783,130
21,DEN,2022-04-10,141,,LAL,0,265,49,100,0.49,34,53,0.642,15,47,0.319,28,36,0.778,141,44,94,0.468,28,51,0.549,16,43,0.372,42,47,0.894,146
22,MEM,2022-04-09,141,,NOP,1,240,53,90,0.589,35,55,0.636,18,35,0.514,17,23,0.739,141,41,91,0.451,35,61,0.574,6,30,0.2,26,35,0.743,114
23,CHO,2022-02-11,141,@,DET,1,240,54,97,0.557,36,55,0.655,18,42,0.429,15,23,0.652,141,48,102,0.471,36,67,0.537,12,35,0.343,11,18,0.611,119
24,MIN,2022-01-09,141,@,HOU,1,240,55,108,0.509,40,66,0.606,15,42,0.357,16,21,0.762,141,46,97,0.474,32,54,0.593,14,43,0.326,17,28,0.607,123
25,SAC,2021-11-26,141,@,LAL,1,315,54,120,0.45,40,75,0.533,14,45,0.311,19,29,0.655,141,51,102,0.5,36,58,0.621,15,44,0.341,20,28,0.714,137
26,PHO,2022-03-24,140,@,DEN,1,240,52,86,0.605,39,59,0.661,13,27,0.481,23,29,0.793,140,48,81,0.593,33,49,0.673,15,32,0.469,19,27,0.704,130
27,PHO,2022-03-13,140,,LAL,1,240,58,102,0.569,46,69,0.667,12,33,0.364,12,14,0.857,140,36,81,0.444,20,41,0.488,16,40,0.4,23,31,0.742,111
28,DEN,2022-01-13,140,,POR,1,240,52,83,0.627,31,41,0.756,21,42,0.5,15,20,0.75,140,39,86,0.453,26,46,0.565,13,40,0.325,17,28,0.607,108
29,CHO,2022-01-05,140,,DET,1,240,48,81,0.593,24,39,0.615,24,42,0.571,20,29,0.69,140,43,92,0.467,29,50,0.58,14,42,0.333,11,20,0.55,111
