Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,DAL,4/10/2015,144,@,DEN,1,290,57,109,0.523,46,80,0.575,11,29,0.379,19,24,0.792,144,53,125,0.424,38,82,0.463,15,43,0.349,22,25,0.88,143
2,DEN,4/10/2015,143,,DAL,0,290,53,125,0.424,38,82,0.463,15,43,0.349,22,25,0.88,143,57,109,0.523,46,80,0.575,11,29,0.379,19,24,0.792,144
3,DAL,11/21/2014,140,,LAL,1,240,51,82,0.622,33,47,0.702,18,35,0.514,20,28,0.714,140,44,85,0.518,39,72,0.542,5,13,0.385,13,21,0.619,106
4,NOP,11/14/2014,139,,MIN,1,240,56,84,0.667,41,64,0.641,15,20,0.75,12,16,0.75,139,29,72,0.403,26,58,0.448,3,14,0.214,30,41,0.732,91
5,OKC,4/15/2015,138,@,MIN,1,240,52,95,0.547,40,67,0.597,12,28,0.429,22,31,0.71,138,39,84,0.464,33,65,0.508,6,19,0.316,29,35,0.829,113
6,OKC,12/31/2014,137,,PHO,1,265,41,99,0.414,30,64,0.469,11,35,0.314,44,49,0.898,137,46,90,0.511,33,63,0.524,13,27,0.481,29,35,0.829,134
7,GSW,11/16/2014,136,@,LAL,1,240,46,86,0.535,32,58,0.552,14,28,0.5,30,34,0.882,136,39,99,0.394,36,83,0.434,3,16,0.188,34,43,0.791,115
8,DAL,4/1/2015,135,@,OKC,1,240,56,91,0.615,52,76,0.684,4,15,0.267,19,24,0.792,135,45,93,0.484,31,62,0.5,14,31,0.452,27,33,0.818,131
9,SAC,12/27/2014,135,,NYK,1,265,49,89,0.551,41,73,0.562,8,16,0.5,29,33,0.879,135,48,97,0.495,42,77,0.545,6,20,0.3,27,32,0.844,129
10,PHO,12/31/2014,134,@,OKC,0,265,46,90,0.511,33,63,0.524,13,27,0.481,29,35,0.829,134,41,99,0.414,30,64,0.469,11,35,0.314,44,49,0.898,137
11,GSW,4/15/2015,133,,DEN,1,240,47,90,0.522,34,62,0.548,13,28,0.464,26,34,0.765,133,45,83,0.542,39,65,0.6,6,18,0.333,30,36,0.833,126
12,WAS,12/8/2014,133,,BOS,1,290,49,94,0.521,42,78,0.538,7,16,0.438,28,34,0.824,133,47,102,0.461,38,80,0.475,9,22,0.409,29,32,0.906,132
13,BOS,12/8/2014,132,@,WAS,0,290,47,102,0.461,38,80,0.475,9,22,0.409,29,32,0.906,132,49,94,0.521,42,78,0.538,7,16,0.438,28,34,0.824,133
