Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
11,DET,2024-01-03,148,@,UTA,0,265,56,105,0.533,37,64,0.578,19,41,0.463,17,22,0.773,148,53,103,0.515,37,71,0.521,16,32,0.5,32,35,0.914,154
12,BRK,2024-01-29,147,,UTA,1,240,54,105,0.514,33,60,0.55,21,45,0.467,18,19,0.947,147,39,86,0.453,30,59,0.508,9,27,0.333,27,34,0.794,114
13,DAL,2023-12-06,147,,UTA,1,240,56,101,0.554,34,52,0.654,22,49,0.449,13,19,0.684,147,35,87,0.402,23,54,0.426,12,33,0.364,15,18,0.833,97
14,ATL,2023-11-22,147,,BRK,1,265,51,116,0.44,33,67,0.493,18,49,0.367,27,29,0.931,147,55,113,0.487,40,78,0.513,15,35,0.429,20,24,0.833,145
15,NOP,2023-12-17,146,@,SAS,1,240,55,98,0.561,33,56,0.589,22,42,0.524,14,22,0.636,146,40,94,0.426,25,52,0.481,15,42,0.357,15,21,0.714,110
16,MIL,2023-12-16,146,,DET,1,240,50,88,0.568,31,46,0.674,19,42,0.452,27,32,0.844,146,43,96,0.448,37,68,0.544,6,28,0.214,22,26,0.846,114
17,PHI,2023-12-11,146,,WAS,1,240,52,95,0.547,32,49,0.653,20,46,0.435,22,25,0.88,146,36,85,0.424,27,54,0.5,9,31,0.29,20,31,0.645,101
18,MIL,2023-12-05,146,,NYK,1,240,55,91,0.604,32,53,0.604,23,38,0.605,13,19,0.684,146,43,87,0.494,36,64,0.563,7,23,0.304,29,33,0.879,122
19,PHI,2023-11-06,146,,WAS,1,240,51,91,0.56,39,60,0.65,12,31,0.387,32,36,0.889,146,49,96,0.51,35,62,0.565,14,34,0.412,16,20,0.8,128
20,LAL,2024-01-27,145,@,GSW,1,290,49,101,0.485,40,74,0.541,9,27,0.333,38,43,0.884,145,55,119,0.462,32,61,0.525,23,58,0.397,11,16,0.688,144
21,BOS,2024-01-13,145,,HOU,1,240,51,95,0.537,27,48,0.563,24,47,0.511,19,25,0.76,145,40,99,0.404,33,69,0.478,7,30,0.233,26,30,0.867,113
22,UTA,2024-01-12,145,,TOR,1,240,52,93,0.559,31,50,0.62,21,43,0.488,20,26,0.769,145,35,81,0.432,18,47,0.383,17,34,0.5,26,37,0.703,113
23,BOS,2023-12-23,145,@,LAC,1,240,49,94,0.521,24,41,0.585,25,53,0.472,22,28,0.786,145,41,89,0.461,30,55,0.545,11,34,0.324,15,15,1.0,108
24,BRK,2023-11-22,145,@,ATL,0,265,55,113,0.487,40,78,0.513,15,35,0.429,20,24,0.833,145,51,116,0.44,33,67,0.493,18,49,0.367,27,29,0.931,147
25,ATL,2024-02-05,144,,LAC,0,240,51,95,0.537,31,56,0.554,20,39,0.513,22,27,0.815,144,52,89,0.584,31,54,0.574,21,35,0.6,24,31,0.774,149
26,GSW,2024-01-27,144,,LAL,0,290,55,119,0.462,32,61,0.525,23,58,0.397,11,16,0.688,144,49,101,0.485,40,74,0.541,9,27,0.333,38,43,0.884,145
27,MIL,2023-12-27,144,@,BRK,1,240,52,89,0.584,29,38,0.763,23,51,0.451,17,23,0.739,144,45,101,0.446,38,69,0.551,7,32,0.219,25,29,0.862,122
28,DAL,2023-12-23,144,,SAS,1,240,52,100,0.52,29,55,0.527,23,45,0.511,17,21,0.81,144,44,98,0.449,30,53,0.566,14,45,0.311,17,24,0.708,119
29,IND,2023-12-20,144,,CHO,1,240,49,80,0.613,31,41,0.756,18,39,0.462,28,30,0.933,144,45,95,0.474,37,64,0.578,8,31,0.258,15,19,0.789,113
30,BOS,2023-12-20,144,@,SAC,1,240,51,92,0.554,29,50,0.58,22,42,0.524,20,24,0.833,144,43,91,0.473,22,47,0.468,21,44,0.477,12,23,0.522,119
31,LAC,2023-12-16,144,,NYK,1,240,50,88,0.568,34,55,0.618,16,33,0.485,28,34,0.824,144,44,94,0.468,33,59,0.559,11,35,0.314,23,26,0.885,122
32,IND,2023-12-02,144,@,MIA,1,240,56,85,0.659,40,53,0.755,16,32,0.5,16,20,0.8,144,48,89,0.539,36,64,0.563,12,25,0.48,21,24,0.875,129
33,DAL,2023-11-10,144,,LAC,1,240,51,98,0.52,32,56,0.571,19,42,0.452,23,26,0.885,144,43,88,0.489,35,61,0.574,8,27,0.296,32,36,0.889,126
34,ATL,2024-01-26,143,,DAL,0,240,51,97,0.526,36,63,0.571,15,34,0.441,26,30,0.867,143,51,85,0.6,32,50,0.64,19,35,0.543,27,32,0.844,148
35,BOS,2024-01-25,143,@,MIA,1,240,51,80,0.638,29,40,0.725,22,40,0.55,19,20,0.95,143,42,94,0.447,26,52,0.5,16,42,0.381,10,13,0.769,110
36,MIL,2024-01-14,143,,SAC,1,265,48,92,0.522,28,49,0.571,20,43,0.465,27,32,0.844,143,55,105,0.524,38,64,0.594,17,41,0.415,15,20,0.75,142
37,SAC,2023-12-18,143,,WAS,1,240,53,100,0.53,36,57,0.632,17,43,0.395,20,26,0.769,143,44,85,0.518,26,47,0.553,18,38,0.474,25,30,0.833,131
38,IND,2023-10-25,143,,WAS,1,240,56,107,0.523,36,64,0.563,20,43,0.465,11,12,0.917,143,44,96,0.458,35,72,0.486,9,24,0.375,23,29,0.793,120
39,SAC,2024-01-14,142,@,MIL,0,265,55,105,0.524,38,64,0.594,17,41,0.415,15,20,0.75,142,48,92,0.522,28,49,0.571,20,43,0.465,27,32,0.844,143
40,IND,2024-01-03,142,,MIL,1,240,50,90,0.556,36,55,0.655,14,35,0.4,28,34,0.824,142,46,92,0.5,32,55,0.582,14,37,0.378,24,32,0.75,130
41,DEN,2023-12-28,142,,MEM,1,240,55,96,0.573,35,55,0.636,20,41,0.488,12,14,0.857,142,37,89,0.416,24,54,0.444,13,35,0.371,18,25,0.72,105
42,NOP,2023-12-13,142,@,WAS,1,240,50,96,0.521,34,62,0.548,16,34,0.471,26,30,0.867,142,42,82,0.512,23,38,0.605,19,44,0.432,19,24,0.792,122
43,MIA,2023-11-30,142,,IND,1,240,48,86,0.558,40,65,0.615,8,21,0.381,38,45,0.844,142,50,98,0.51,39,55,0.709,11,43,0.256,21,32,0.656,132
44,MIL,2023-11-20,142,@,WAS,1,240,55,94,0.585,44,65,0.677,11,29,0.379,21,28,0.75,142,55,99,0.556,45,70,0.643,10,29,0.345,9,11,0.818,129
45,TOR,2023-11-19,142,,DET,1,240,55,102,0.539,41,66,0.621,14,36,0.389,18,29,0.621,142,39,83,0.47,30,57,0.526,9,26,0.346,26,35,0.743,113
46,ATL,2024-02-03,141,,GSW,1,265,55,114,0.482,41,71,0.577,14,43,0.326,17,22,0.773,141,50,112,0.446,32,56,0.571,18,56,0.321,16,20,0.8,134
47,MIL,2024-01-27,141,,NOP,1,240,51,91,0.56,31,46,0.674,20,45,0.444,19,25,0.76,141,40,85,0.471,31,62,0.5,9,23,0.391,28,36,0.778,117
48,LAL,2024-01-25,141,,CHI,1,240,53,87,0.609,33,56,0.589,20,31,0.645,15,20,0.75,141,47,88,0.534,35,51,0.686,12,37,0.324,26,29,0.897,132
49,MIL,2024-01-20,141,@,DET,1,240,47,85,0.553,35,53,0.66,12,32,0.375,35,49,0.714,141,44,94,0.468,23,57,0.404,21,37,0.568,26,32,0.813,135
50,NOP,2024-01-10,141,@,GSW,1,240,54,94,0.574,35,54,0.648,19,40,0.475,14,19,0.737,141,39,89,0.438,27,50,0.54,12,39,0.308,15,18,0.833,105
51,ATL,2024-01-03,141,,OKC,1,240,48,95,0.505,34,56,0.607,14,39,0.359,31,33,0.939,141,50,91,0.549,32,55,0.582,18,36,0.5,20,26,0.769,138
52,GSW,2023-11-03,141,@,OKC,1,240,49,92,0.533,31,52,0.596,18,40,0.45,25,30,0.833,141,50,83,0.602,35,54,0.648,15,29,0.517,24,30,0.8,139
53,PHO,2024-02-04,140,@,WAS,1,240,54,88,0.614,43,63,0.683,11,25,0.44,21,26,0.808,140,47,96,0.49,40,64,0.625,7,32,0.219,11,17,0.647,112
54,OKC,2024-01-24,140,@,SAS,1,240,54,96,0.563,36,56,0.643,18,40,0.45,14,16,0.875,140,43,86,0.5,34,54,0.63,9,32,0.281,19,25,0.76,114
55,GSW,2024-01-12,140,@,CHI,1,240,49,94,0.521,29,47,0.617,20,47,0.426,22,30,0.733,140,50,86,0.581,32,46,0.696,18,40,0.45,13,16,0.813,131
56,CLE,2024-01-03,140,,WAS,1,240,54,101,0.535,34,59,0.576,20,42,0.476,12,16,0.75,140,42,101,0.416,30,66,0.455,12,35,0.343,5,11,0.455,101
57,IND,2023-12-30,140,,NYK,1,240,50,85,0.588,27,42,0.643,23,43,0.535,17,21,0.81,140,45,95,0.474,28,58,0.483,17,37,0.459,19,27,0.704,126
58,MIL,2023-12-13,140,,IND,1,240,48,89,0.539,41,62,0.661,7,27,0.259,37,48,0.771,140,45,100,0.45,34,64,0.531,11,36,0.306,25,32,0.781,126
59,PHO,2023-11-19,140,@,UTA,1,290,50,102,0.49,32,57,0.561,18,45,0.4,22,26,0.846,140,48,115,0.417,33,69,0.478,15,46,0.326,26,32,0.813,137
60,OKC,2024-01-11,139,,POR,1,240,53,93,0.57,39,58,0.672,14,35,0.4,19,22,0.864,139,28,101,0.277,17,52,0.327,11,49,0.224,10,16,0.625,77
61,ATL,2024-01-10,139,,PHI,1,265,48,102,0.471,36,68,0.529,12,34,0.353,31,42,0.738,139,46,102,0.451,34,68,0.5,12,34,0.353,28,33,0.848,132
62,DAL,2024-01-05,139,,POR,1,240,56,96,0.583,39,58,0.672,17,38,0.447,10,15,0.667,139,39,95,0.411,26,55,0.473,13,40,0.325,12,17,0.706,103
63,NYK,2023-12-15,139,@,PHO,1,240,49,82,0.598,32,53,0.604,17,29,0.586,24,28,0.857,139,47,90,0.522,36,62,0.581,11,28,0.393,17,21,0.81,122
64,ORL,2023-11-29,139,,WAS,1,240,51,84,0.607,34,57,0.596,17,27,0.63,20,24,0.833,139,41,87,0.471,30,58,0.517,11,29,0.379,27,35,0.771,120
65,OKC,2023-11-03,139,,GSW,0,240,50,83,0.602,35,54,0.648,15,29,0.517,24,30,0.8,139,49,92,0.533,31,52,0.596,18,40,0.45,25,30,0.833,141
66,NOP,2024-02-05,138,,TOR,1,240,53,104,0.51,34,59,0.576,19,45,0.422,13,13,1.0,138,40,84,0.476,30,53,0.566,10,31,0.323,10,15,0.667,100
67,ATL,2024-01-30,138,,LAL,1,240,53,101,0.525,37,63,0.587,16,38,0.421,16,18,0.889,138,48,90,0.533,36,57,0.632,12,33,0.364,14,25,0.56,122
68,HOU,2024-01-26,138,@,CHO,1,240,50,89,0.562,37,56,0.661,13,33,0.394,25,31,0.806,138,35,85,0.412,26,56,0.464,9,29,0.31,25,32,0.781,104
69,LAC,2024-01-08,138,,PHO,1,240,53,85,0.624,38,56,0.679,15,29,0.517,17,23,0.739,138,38,77,0.494,28,47,0.596,10,30,0.333,25,29,0.862,111
70,SAC,2024-01-03,138,,ORL,1,290,51,105,0.486,36,65,0.554,15,40,0.375,21,31,0.677,138,44,90,0.489,19,46,0.413,25,44,0.568,22,27,0.815,135
71,OKC,2024-01-03,138,@,ATL,0,240,50,91,0.549,32,55,0.582,18,36,0.5,20,26,0.769,138,48,95,0.505,34,56,0.607,14,39,0.359,31,33,0.939,141
72,OKC,2023-12-08,138,,GSW,1,265,51,98,0.52,46,69,0.667,5,29,0.172,31,36,0.861,138,49,104,0.471,30,56,0.536,19,48,0.396,19,23,0.826,136
73,PHI,2023-11-27,138,,LAL,1,240,47,93,0.505,25,47,0.532,22,46,0.478,22,26,0.846,138,39,83,0.47,32,55,0.582,7,28,0.25,9,13,0.692,94
74,POR,2024-01-24,137,@,HOU,1,265,50,98,0.51,35,63,0.556,15,35,0.429,22,24,0.917,137,50,94,0.532,38,58,0.655,12,36,0.333,19,22,0.864,131
75,WAS,2023-12-15,137,,IND,1,240,52,92,0.565,39,65,0.6,13,27,0.481,20,26,0.769,137,48,107,0.449,33,67,0.493,15,40,0.375,12,16,0.75,123
76,ATL,2023-11-30,137,@,SAS,1,240,49,96,0.51,35,63,0.556,14,33,0.424,25,29,0.862,137,48,89,0.539,30,48,0.625,18,41,0.439,21,23,0.913,135
77,UTA,2023-11-19,137,,PHO,0,290,48,115,0.417,33,69,0.478,15,46,0.326,26,32,0.813,137,50,102,0.49,32,57,0.561,18,45,0.4,22,26,0.846,140
78,PHI,2023-11-12,137,,IND,1,240,53,105,0.505,39,72,0.542,14,33,0.424,17,20,0.85,137,47,90,0.522,31,51,0.608,16,39,0.41,16,19,0.842,126
79,CLE,2024-02-05,136,,SAC,1,240,51,88,0.58,28,47,0.596,23,41,0.561,11,17,0.647,136,43,93,0.462,26,49,0.531,17,44,0.386,7,12,0.583,110
80,BRK,2024-02-03,136,@,PHI,1,240,49,95,0.516,29,44,0.659,20,51,0.392,18,23,0.783,136,44,96,0.458,32,67,0.478,12,29,0.414,21,27,0.778,121
81,LAC,2024-02-02,136,@,DET,1,240,53,89,0.596,39,60,0.65,14,29,0.483,16,19,0.842,136,45,89,0.506,28,49,0.571,17,40,0.425,18,24,0.75,125
82,PHO,2024-01-31,136,@,BRK,1,240,49,79,0.62,35,51,0.686,14,28,0.5,24,32,0.75,136,47,94,0.5,31,55,0.564,16,39,0.41,10,13,0.769,120
83,OKC,2024-01-08,136,@,WAS,1,240,52,88,0.591,38,60,0.633,14,28,0.5,18,24,0.75,136,44,89,0.494,29,57,0.509,15,32,0.469,25,29,0.862,128
84,HOU,2024-01-01,136,,DET,1,240,51,91,0.56,36,56,0.643,15,35,0.429,19,24,0.792,136,40,83,0.482,27,54,0.5,13,29,0.448,20,27,0.741,113
85,NYK,2023-12-11,136,,TOR,1,240,52,86,0.605,35,57,0.614,17,29,0.586,15,23,0.652,136,47,96,0.49,33,57,0.579,14,39,0.359,22,30,0.733,130
86,GSW,2023-12-08,136,@,OKC,0,265,49,104,0.471,30,56,0.536,19,48,0.396,19,23,0.826,136,51,98,0.52,46,69,0.667,5,29,0.172,31,36,0.861,138
87,ATL,2023-11-25,136,@,WAS,1,240,52,102,0.51,34,65,0.523,18,37,0.486,14,20,0.7,136,43,88,0.489,33,50,0.66,10,38,0.263,12,12,1.0,108
88,IND,2023-11-24,136,,DET,1,240,49,102,0.48,33,64,0.516,16,38,0.421,22,24,0.917,136,43,90,0.478,36,72,0.5,7,18,0.389,20,24,0.833,113
89,DAL,2023-11-12,136,@,NOP,1,240,50,102,0.49,30,49,0.612,20,53,0.377,16,21,0.762,136,47,92,0.511,30,56,0.536,17,36,0.472,13,22,0.591,124
90,OKC,2024-02-04,135,,TOR,1,290,52,110,0.473,29,47,0.617,23,63,0.365,8,8,1.0,135,48,101,0.475,34,66,0.515,14,35,0.4,17,21,0.81,127
91,HOU,2024-02-02,135,,TOR,1,240,55,93,0.591,44,62,0.71,11,31,0.355,14,17,0.824,135,40,91,0.44,29,58,0.5,11,33,0.333,15,20,0.75,106
92,HOU,2024-01-29,135,,LAL,1,240,52,98,0.531,40,62,0.645,12,36,0.333,19,25,0.76,135,45,91,0.495,32,56,0.571,13,35,0.371,16,26,0.615,119
93,DET,2024-01-20,135,,MIL,0,240,44,94,0.468,23,57,0.404,21,37,0.568,26,32,0.813,135,47,85,0.553,35,53,0.66,12,32,0.375,35,49,0.714,141
94,CLE,2024-01-17,135,,MIL,1,240,55,93,0.591,43,65,0.662,12,28,0.429,13,19,0.684,135,38,95,0.4,26,53,0.491,12,42,0.286,7,10,0.7,95
95,SAS,2024-01-12,135,,CHO,1,240,45,87,0.517,27,49,0.551,18,38,0.474,27,34,0.794,135,32,89,0.36,22,55,0.4,10,34,0.294,25,28,0.893,99
96,MIL,2024-01-11,135,,BOS,1,240,52,92,0.565,34,50,0.68,18,42,0.429,13,16,0.813,135,34,91,0.374,25,56,0.446,9,35,0.257,25,30,0.833,102
97,SAC,2024-01-05,135,,TOR,1,240,52,100,0.52,31,62,0.5,21,38,0.553,10,15,0.667,135,47,87,0.54,34,50,0.68,13,37,0.351,23,27,0.852,130
98,ORL,2024-01-03,135,@,SAC,0,290,44,90,0.489,19,46,0.413,25,44,0.568,22,27,0.815,135,51,105,0.486,36,65,0.554,15,40,0.375,21,31,0.677,138
99,CLE,2023-12-18,135,,HOU,1,265,47,97,0.485,28,49,0.571,19,48,0.396,22,34,0.647,135,47,102,0.461,35,69,0.507,12,33,0.364,24,27,0.889,130
100,PHI,2023-12-16,135,@,CHO,1,240,53,88,0.602,39,57,0.684,14,31,0.452,15,17,0.882,135,33,91,0.363,26,56,0.464,7,35,0.2,9,11,0.818,82
101,TOR,2023-12-13,135,,ATL,1,240,50,87,0.575,32,53,0.604,18,34,0.529,17,24,0.708,135,48,100,0.48,30,59,0.508,18,41,0.439,14,19,0.737,128
102,SAS,2023-11-30,135,,ATL,0,240,48,89,0.539,30,48,0.625,18,41,0.439,21,23,0.913,135,49,96,0.51,35,63,0.556,14,33,0.424,25,29,0.862,137
103,GSW,2024-02-03,134,@,ATL,0,265,50,112,0.446,32,56,0.571,18,56,0.321,16,20,0.8,134,55,114,0.482,41,71,0.577,14,43,0.326,17,22,0.773,141
104,UTA,2024-01-27,134,@,CHO,1,240,52,93,0.559,35,52,0.673,17,41,0.415,13,17,0.765,134,47,92,0.511,34,60,0.567,13,32,0.406,15,21,0.714,122
105,IND,2024-01-25,134,,PHI,1,240,53,93,0.57,41,65,0.631,12,28,0.429,16,21,0.762,134,42,87,0.483,35,58,0.603,7,29,0.241,31,43,0.721,122
106,SAC,2024-01-25,134,@,GSW,1,240,48,91,0.527,26,43,0.605,22,48,0.458,16,19,0.842,134,48,86,0.558,29,49,0.592,19,37,0.514,18,23,0.783,133
107,GSW,2024-01-24,134,,ATL,1,240,51,91,0.56,35,58,0.603,16,33,0.485,16,22,0.727,134,39,94,0.415,25,51,0.49,14,43,0.326,20,26,0.769,112
108,LAL,2024-01-21,134,,POR,1,240,47,86,0.547,34,53,0.642,13,33,0.394,27,29,0.931,134,42,90,0.467,33,61,0.541,9,29,0.31,17,20,0.85,110
109,OKC,2024-01-18,134,@,UTA,1,240,48,86,0.558,34,54,0.63,14,32,0.438,24,28,0.857,134,43,89,0.483,30,57,0.526,13,32,0.406,30,36,0.833,129
110,POR,2024-01-07,134,@,BRK,1,265,45,95,0.474,25,57,0.439,20,38,0.526,24,30,0.8,134,46,91,0.505,32,54,0.593,14,37,0.378,21,25,0.84,127
111,BOS,2023-12-31,134,@,SAS,1,240,51,95,0.537,36,53,0.679,15,42,0.357,17,22,0.773,134,40,94,0.426,28,49,0.571,12,45,0.267,9,12,0.75,101
112,POR,2023-12-29,134,,SAS,1,240,48,95,0.505,32,68,0.471,16,27,0.593,22,27,0.815,134,48,94,0.511,34,61,0.557,14,33,0.424,18,25,0.72,128
113,OKC,2023-12-21,134,,LAC,1,240,51,87,0.586,35,53,0.66,16,34,0.471,16,18,0.889,134,44,93,0.473,27,50,0.54,17,43,0.395,10,12,0.833,115
114,ATL,2023-12-20,134,@,HOU,1,240,47,91,0.516,30,51,0.588,17,40,0.425,23,28,0.821,134,44,89,0.494,28,55,0.509,16,34,0.471,23,23,1.0,127
115,OKC,2023-12-11,134,,UTA,1,240,50,96,0.521,32,58,0.552,18,38,0.474,16,17,0.941,134,44,92,0.478,32,54,0.593,12,38,0.316,20,21,0.952,120
116,DEN,2023-11-29,134,,HOU,1,240,48,95,0.505,29,52,0.558,19,43,0.442,19,26,0.731,134,47,86,0.547,31,45,0.689,16,41,0.39,14,19,0.737,124
117,OKC,2023-11-19,134,@,POR,1,240,49,81,0.605,27,45,0.6,22,36,0.611,14,14,1.0,134,34,85,0.4,25,51,0.49,9,34,0.265,14,21,0.667,91
118,LAL,2023-11-14,134,,MEM,1,240,47,81,0.58,25,46,0.543,22,35,0.629,18,24,0.75,134,39,106,0.368,19,53,0.358,20,53,0.377,9,12,0.75,107
119,IND,2023-11-08,134,,UTA,1,240,52,101,0.515,39,60,0.65,13,41,0.317,17,20,0.85,134,45,96,0.469,34,69,0.493,11,27,0.407,17,18,0.944,118
120,DEN,2023-11-06,134,,NOP,1,240,51,95,0.537,36,56,0.643,15,39,0.385,17,23,0.739,134,45,90,0.5,32,60,0.533,13,30,0.433,13,15,0.867,116
121,DET,2024-02-07,133,@,SAC,1,240,47,84,0.56,30,53,0.566,17,31,0.548,22,22,1.0,133,45,95,0.474,30,51,0.588,15,44,0.341,15,22,0.682,120
122,SAC,2024-02-02,133,@,IND,1,240,51,90,0.567,38,56,0.679,13,34,0.382,18,28,0.643,133,46,85,0.541,36,56,0.643,10,29,0.345,20,24,0.833,122
123,IND,2024-01-26,133,,PHO,1,240,58,109,0.532,50,83,0.602,8,26,0.308,9,15,0.6,133,51,89,0.573,38,59,0.644,13,30,0.433,16,18,0.889,131
124,GSW,2024-01-25,133,,SAC,0,240,48,86,0.558,29,49,0.592,19,37,0.514,18,23,0.783,133,48,91,0.527,26,43,0.605,22,48,0.458,16,19,0.842,134
125,PHI,2024-01-22,133,,SAS,1,240,48,97,0.495,43,77,0.558,5,20,0.25,32,40,0.8,133,43,93,0.462,30,52,0.577,13,41,0.317,24,27,0.889,123
126,IND,2024-01-08,133,,BOS,1,240,48,91,0.527,29,51,0.569,19,40,0.475,18,22,0.818,133,47,90,0.522,30,55,0.545,17,35,0.486,20,29,0.69,131
127,TOR,2024-01-07,133,@,GSW,1,240,55,94,0.585,40,61,0.656,15,33,0.455,8,14,0.571,133,45,100,0.45,31,54,0.574,14,46,0.304,14,15,0.933,118
128,NOP,2024-01-07,133,@,SAC,1,240,50,82,0.61,31,47,0.66,19,35,0.543,14,16,0.875,133,38,91,0.418,23,46,0.5,15,45,0.333,9,12,0.75,100
129,PHO,2023-12-29,133,,CHO,1,240,46,74,0.622,28,44,0.636,18,30,0.6,23,24,0.958,133,44,92,0.478,21,46,0.457,23,46,0.5,8,8,1.0,119
130,LAL,2023-12-28,133,,CHO,1,240,52,97,0.536,37,67,0.552,15,30,0.5,14,14,1.0,133,40,85,0.471,25,52,0.481,15,33,0.455,17,28,0.607,112
131,MIL,2023-12-11,133,,CHI,1,265,44,86,0.512,29,49,0.592,15,37,0.405,30,37,0.811,133,47,114,0.412,32,80,0.4,15,34,0.441,20,25,0.8,129
132,BOS,2023-12-08,133,,NYK,1,240,48,91,0.527,29,44,0.659,19,47,0.404,18,21,0.857,133,44,88,0.5,29,51,0.569,15,37,0.405,20,27,0.741,123
133,LAL,2023-12-07,133,,NOP,1,240,47,86,0.547,30,51,0.588,17,35,0.486,22,29,0.759,133,34,95,0.358,27,64,0.422,7,31,0.226,14,20,0.7,89
134,OKC,2023-11-30,133,,LAL,1,240,50,94,0.532,36,52,0.692,14,42,0.333,19,22,0.864,133,36,81,0.444,25,48,0.521,11,33,0.333,27,32,0.844,110
135,LAL,2023-11-29,133,@,DET,1,240,45,88,0.511,33,54,0.611,12,34,0.353,31,38,0.816,133,40,97,0.412,25,61,0.41,15,36,0.417,12,14,0.857,107
136,PHO,2023-11-15,133,,MIN,1,240,51,85,0.6,34,54,0.63,17,31,0.548,14,15,0.933,133,42,92,0.457,37,65,0.569,5,27,0.185,26,28,0.929,115
137,UTA,2023-11-01,133,,MEM,1,240,47,87,0.54,25,44,0.568,22,43,0.512,17,24,0.708,133,35,96,0.365,21,42,0.5,14,54,0.259,25,32,0.781,109
138,BRK,2023-10-30,133,@,CHO,1,240,49,87,0.563,37,54,0.685,12,33,0.364,23,32,0.719,133,47,96,0.49,39,65,0.6,8,31,0.258,19,20,0.95,121
139,IND,2024-02-06,132,,HOU,1,240,54,86,0.628,39,54,0.722,15,32,0.469,9,14,0.643,132,50,97,0.515,38,72,0.528,12,25,0.48,17,23,0.739,129
140,CHI,2024-01-25,132,@,LAL,0,240,47,88,0.534,35,51,0.686,12,37,0.324,26,29,0.897,132,53,87,0.609,33,56,0.589,20,31,0.645,15,20,0.75,141
141,PHO,2024-01-24,132,@,DAL,1,240,51,85,0.6,37,51,0.725,14,34,0.412,16,22,0.727,132,41,89,0.461,24,46,0.522,17,43,0.395,10,18,0.556,109
142,NOP,2024-01-17,132,,CHO,1,240,44,88,0.5,19,41,0.463,25,47,0.532,19,23,0.826,132,39,90,0.433,20,45,0.444,19,45,0.422,15,18,0.833,112
143,UTA,2024-01-15,132,,IND,1,240,45,81,0.556,34,56,0.607,11,25,0.44,31,35,0.886,132,38,95,0.4,29,64,0.453,9,31,0.29,20,25,0.8,105
144,UTA,2024-01-13,132,,LAL,1,240,42,93,0.452,30,56,0.536,12,37,0.324,36,39,0.923,132,46,92,0.5,33,63,0.524,13,29,0.448,20,24,0.833,125
145,PHI,2024-01-10,132,@,ATL,0,265,46,102,0.451,34,68,0.5,12,34,0.353,28,33,0.848,132,48,102,0.471,36,68,0.529,12,34,0.353,31,42,0.738,139
146,LAL,2024-01-09,132,,TOR,1,240,44,81,0.543,28,45,0.622,16,36,0.444,28,36,0.778,132,53,94,0.564,36,59,0.61,17,35,0.486,8,13,0.615,131
147,UTA,2024-01-08,132,@,MIL,1,240,47,90,0.522,27,46,0.587,20,44,0.455,18,22,0.818,132,42,94,0.447,25,58,0.431,17,36,0.472,15,19,0.789,116
148,DAL,2023-12-30,132,@,GSW,1,240,49,88,0.557,33,48,0.688,16,40,0.4,18,22,0.818,132,47,103,0.456,28,55,0.509,19,48,0.396,9,13,0.692,122
