Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,IND,2023-11-21,157,@,ATL,1,240,57,94,0.606,35,49,0.714,22,45,0.489,21,28,0.75,157,57,95,0.6,42,64,0.656,15,31,0.484,23,28,0.821,152
2,BOS,2023-11-01,155,,IND,1,240,54,95,0.568,34,60,0.567,20,35,0.571,27,28,0.964,155,46,101,0.455,41,64,0.641,5,37,0.135,7,12,0.583,104
3,UTA,2024-01-03,154,,DET,1,265,53,103,0.515,37,71,0.521,16,32,0.5,32,35,0.914,154,56,105,0.533,37,64,0.578,19,41,0.463,17,22,0.773,148
4,NOP,2024-01-23,153,,UTA,1,240,60,104,0.577,37,58,0.638,23,46,0.5,10,15,0.667,153,43,92,0.467,31,56,0.554,12,36,0.333,26,32,0.813,124
5,ATL,2023-11-21,152,,IND,0,240,57,95,0.6,42,64,0.656,15,31,0.484,23,28,0.821,152,57,94,0.606,35,49,0.714,22,45,0.489,21,28,0.75,157
6,IND,2023-11-06,152,,SAS,1,240,55,95,0.579,35,57,0.614,20,38,0.526,22,23,0.957,152,40,94,0.426,32,68,0.471,8,26,0.308,23,30,0.767,111
7,LAC,2023-12-18,151,@,IND,1,240,56,98,0.571,37,60,0.617,19,38,0.5,20,23,0.87,151,49,95,0.516,37,62,0.597,12,33,0.364,17,21,0.81,127
8,IND,2024-01-05,150,,ATL,1,240,60,94,0.638,41,55,0.745,19,39,0.487,11,13,0.846,150,40,93,0.43,30,51,0.588,10,42,0.238,26,30,0.867,116
9,LAC,2024-02-05,149,@,ATL,1,240,52,89,0.584,31,54,0.574,21,35,0.6,24,31,0.774,149,51,95,0.537,31,56,0.554,20,39,0.513,22,27,0.815,144
10,DAL,2024-01-26,148,@,ATL,1,240,51,85,0.6,32,50,0.64,19,35,0.543,27,32,0.844,148,51,97,0.526,36,63,0.571,15,34,0.441,26,30,0.867,143
