Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,WAS,2021-05-03,154,,IND,1,240,63,103,0.612,54,81,0.667,9,22,0.409,19,24,0.792,154,53,107,0.495,39,80,0.488,14,27,0.519,21,25,0.84,141
2,UTA,2021-04-28,154,@,SAC,1,240,55,86,0.64,31,45,0.689,24,41,0.585,20,21,0.952,154,42,87,0.483,35,66,0.53,7,21,0.333,14,17,0.824,105
3,IND,2021-05-01,152,@,OKC,1,240,57,87,0.655,36,54,0.667,21,33,0.636,17,22,0.773,152,38,111,0.342,30,73,0.411,8,38,0.211,11,23,0.478,95
4,WAS,2021-01-31,149,,BRK,1,240,56,108,0.519,44,69,0.638,12,39,0.308,25,32,0.781,149,50,88,0.568,31,52,0.596,19,36,0.528,27,33,0.818,146
5,GSW,2021-04-14,147,@,OKC,1,240,52,95,0.547,28,48,0.583,24,47,0.511,19,23,0.826,147,44,92,0.478,37,65,0.569,7,27,0.259,14,25,0.56,109
6,GSW,2021-02-04,147,@,DAL,1,240,51,89,0.573,29,46,0.63,22,43,0.512,23,27,0.852,147,38,92,0.413,18,42,0.429,20,50,0.4,20,23,0.87,116
7,BRK,2021-01-29,147,@,OKC,1,240,57,100,0.57,38,55,0.691,19,45,0.422,14,16,0.875,147,40,86,0.465,24,48,0.5,16,38,0.421,29,34,0.853,125
8,CLE,2021-01-20,147,,BRK,1,290,56,109,0.514,36,69,0.522,20,40,0.5,15,21,0.714,147,48,106,0.453,33,65,0.508,15,41,0.366,24,27,0.889,135
9,SAS,2021-05-10,146,,MIL,1,240,56,94,0.596,39,65,0.6,17,29,0.586,17,21,0.81,146,47,94,0.5,34,53,0.642,13,41,0.317,18,23,0.783,125
10,SAS,2021-04-26,146,@,WAS,1,265,55,103,0.534,49,86,0.57,6,17,0.353,30,35,0.857,146,58,109,0.532,52,89,0.584,6,20,0.3,21,25,0.84,143
11,BRK,2021-01-31,146,@,WAS,0,240,50,88,0.568,31,52,0.596,19,36,0.528,27,33,0.818,146,56,108,0.519,44,69,0.638,12,39,0.308,25,32,0.781,149
