Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,SAC,2023-02-24,176,@,LAC,1,290,65,111,0.586,47,70,0.671,18,41,0.439,28,35,0.8,176,59,98,0.602,33,53,0.623,26,45,0.578,31,36,0.861,175
2,LAC,2023-02-24,175,,SAC,0,290,59,98,0.602,33,53,0.623,26,45,0.578,31,36,0.861,175,65,111,0.586,47,70,0.671,18,41,0.439,28,35,0.8,176
3,GSW,2023-04-09,157,@,POR,1,240,58,96,0.604,31,47,0.66,27,49,0.551,14,16,0.875,157,38,95,0.4,29,60,0.483,9,35,0.257,16,24,0.667,101
4,OKC,2023-02-04,153,,HOU,1,240,56,97,0.577,35,51,0.686,21,46,0.457,20,23,0.87,153,45,89,0.506,35,59,0.593,10,30,0.333,21,27,0.778,121
5,SAC,2022-11-15,153,,BRK,1,240,56,94,0.596,36,53,0.679,20,41,0.488,21,25,0.84,153,40,81,0.494,29,53,0.547,11,28,0.393,30,33,0.909,121
6,MIN,2023-04-08,151,@,SAS,1,240,56,101,0.554,32,58,0.552,24,43,0.558,15,21,0.714,151,50,95,0.526,37,66,0.561,13,29,0.448,18,24,0.75,131
7,MEM,2023-03-24,151,,HOU,1,240,57,93,0.613,32,51,0.627,25,42,0.595,12,14,0.857,151,47,87,0.54,40,64,0.625,7,23,0.304,13,21,0.619,114
8,MIL,2023-01-23,150,@,DET,1,240,55,98,0.561,32,46,0.696,23,52,0.442,17,24,0.708,150,43,87,0.494,30,55,0.545,13,32,0.406,31,40,0.775,130
9,OKC,2023-01-03,150,,BOS,1,240,58,98,0.592,38,58,0.655,20,40,0.5,14,22,0.636,150,40,88,0.455,28,48,0.583,12,40,0.3,25,31,0.806,117
10,MIN,2022-12-18,150,,CHI,1,240,57,87,0.655,34,44,0.773,23,43,0.535,13,16,0.813,150,46,88,0.523,30,50,0.6,16,38,0.421,18,24,0.75,126
11,MIL,2023-03-29,149,@,IND,1,240,58,93,0.624,48,68,0.706,10,25,0.4,23,30,0.767,149,53,101,0.525,39,71,0.549,14,30,0.467,16,22,0.727,136
12,PHI,2023-03-06,147,@,IND,1,240,48,82,0.585,32,48,0.667,16,34,0.471,35,38,0.921,147,53,90,0.589,38,53,0.717,15,37,0.405,22,31,0.71,143
13,POR,2023-01-23,147,,SAS,1,240,55,92,0.598,35,59,0.593,20,33,0.606,17,22,0.773,147,47,90,0.522,34,63,0.54,13,27,0.481,20,26,0.769,127
14,PHI,2023-01-10,147,,DET,1,240,54,89,0.607,43,58,0.741,11,31,0.355,28,30,0.933,147,36,89,0.404,22,50,0.44,14,39,0.359,30,36,0.833,116
15,DEN,2023-02-07,146,,MIN,1,240,58,93,0.624,45,66,0.682,13,27,0.481,17,22,0.773,146,40,85,0.471,30,50,0.6,10,35,0.286,22,26,0.846,112
16,CLE,2023-01-02,145,,CHI,1,265,48,92,0.522,32,46,0.696,16,46,0.348,33,45,0.733,145,47,95,0.495,37,62,0.597,10,33,0.303,30,34,0.882,134
17,OKC,2022-11-13,145,@,NYK,1,240,55,88,0.625,38,57,0.667,17,31,0.548,18,20,0.9,145,48,97,0.495,38,66,0.576,10,31,0.323,29,33,0.879,135
18,MIL,2023-03-24,144,@,UTA,1,240,55,99,0.556,33,49,0.673,22,50,0.44,12,16,0.75,144,40,104,0.385,29,64,0.453,11,40,0.275,25,34,0.735,116
19,CHO,2023-02-13,144,,ATL,1,240,53,84,0.631,33,47,0.702,20,37,0.541,18,23,0.783,144,53,108,0.491,42,80,0.525,11,28,0.393,21,21,1.0,138
20,GSW,2023-01-13,144,@,SAS,1,240,55,101,0.545,37,53,0.698,18,48,0.375,16,20,0.8,144,40,88,0.455,32,66,0.485,8,22,0.364,25,34,0.735,113
21,CHI,2022-12-10,144,,DAL,1,240,54,85,0.635,35,51,0.686,19,34,0.559,17,24,0.708,144,41,90,0.456,30,46,0.652,11,44,0.25,22,26,0.846,115
22,ATL,2023-03-25,143,,IND,1,240,53,96,0.552,38,66,0.576,15,30,0.5,22,25,0.88,143,52,96,0.542,38,59,0.644,14,37,0.378,12,12,1.0,130
23,IND,2023-03-06,143,,PHI,0,240,53,90,0.589,38,53,0.717,15,37,0.405,22,31,0.71,143,48,82,0.585,32,48,0.667,16,34,0.471,35,38,0.921,147
24,MIN,2023-02-08,143,@,UTA,1,240,56,98,0.571,33,55,0.6,23,43,0.535,8,8,1.0,143,44,105,0.419,32,71,0.451,12,34,0.353,18,21,0.857,118
25,GSW,2023-01-02,143,,ATL,1,290,54,121,0.446,35,62,0.565,19,59,0.322,16,24,0.667,143,53,109,0.486,42,74,0.568,11,35,0.314,24,29,0.828,141
26,BRK,2022-12-21,143,,GSW,1,240,54,84,0.643,33,51,0.647,21,33,0.636,14,16,0.875,143,41,83,0.494,29,50,0.58,12,33,0.364,19,25,0.76,113
27,LAL,2022-11-26,143,@,SAS,1,240,47,81,0.58,30,48,0.625,17,33,0.515,32,37,0.865,143,53,105,0.505,35,68,0.515,18,37,0.486,14,20,0.7,138
28,TOR,2022-11-02,143,@,SAS,1,240,57,106,0.538,43,73,0.589,14,33,0.424,15,16,0.938,143,37,94,0.394,23,51,0.451,14,43,0.326,12,14,0.857,100
29,SAS,2023-04-02,142,@,SAC,1,265,52,98,0.531,39,64,0.609,13,34,0.382,25,29,0.862,142,49,103,0.476,38,59,0.644,11,44,0.25,25,32,0.781,134
30,HOU,2023-03-05,142,,SAS,1,240,52,85,0.612,39,61,0.639,13,24,0.542,25,29,0.862,142,43,93,0.462,32,59,0.542,11,34,0.324,13,21,0.619,110
31,NYK,2023-03-01,142,,BRK,1,240,54,89,0.607,34,54,0.63,20,35,0.571,14,21,0.667,142,42,90,0.467,27,51,0.529,15,39,0.385,19,20,0.95,118
32,DAL,2023-02-23,142,,SAS,1,240,46,82,0.561,24,40,0.6,22,42,0.524,28,36,0.778,142,45,86,0.523,35,61,0.574,10,25,0.4,16,23,0.696,116
33,BOS,2023-02-23,142,@,IND,1,265,51,99,0.515,33,60,0.55,18,39,0.462,22,26,0.846,142,49,94,0.521,27,45,0.6,22,49,0.449,18,22,0.818,138
34,LAC,2022-12-26,142,@,DET,1,265,49,91,0.538,30,47,0.638,19,44,0.432,25,29,0.862,142,44,100,0.44,28,66,0.424,16,34,0.471,27,34,0.794,131
35,MEM,2022-12-15,142,,MIL,1,240,56,102,0.549,44,70,0.629,12,32,0.375,18,23,0.783,142,35,94,0.372,22,44,0.5,13,50,0.26,18,27,0.667,101
36,WAS,2022-11-28,142,,MIN,1,240,52,91,0.571,37,60,0.617,15,31,0.484,23,27,0.852,142,42,84,0.5,35,57,0.614,7,27,0.259,36,42,0.857,127
37,IND,2023-04-09,141,@,NYK,1,240,46,89,0.517,27,55,0.491,19,34,0.559,30,38,0.789,141,52,108,0.481,37,68,0.544,15,40,0.375,17,22,0.773,136
38,LAC,2023-03-29,141,@,MEM,1,240,48,78,0.615,26,41,0.634,22,37,0.595,23,31,0.742,141,49,95,0.516,38,63,0.603,11,32,0.344,23,28,0.821,132
39,PHI,2023-03-18,141,@,IND,1,240,54,88,0.614,39,53,0.736,15,35,0.429,18,22,0.818,141,45,87,0.517,33,56,0.589,12,31,0.387,19,20,0.95,121
40,GSW,2023-02-06,141,,OKC,1,240,56,97,0.577,30,47,0.638,26,50,0.52,3,7,0.429,141,44,91,0.484,33,59,0.559,11,32,0.344,15,21,0.714,114
41,MIL,2023-01-27,141,@,IND,1,240,52,98,0.531,34,55,0.618,18,43,0.419,19,31,0.613,141,49,89,0.551,36,56,0.643,13,33,0.394,20,28,0.714,131
42,ATL,2023-01-02,141,@,GSW,0,290,53,109,0.486,42,74,0.568,11,35,0.314,24,29,0.828,141,54,121,0.446,35,62,0.565,19,59,0.322,16,24,0.667,143
43,DET,2022-12-14,141,@,CHO,1,265,48,93,0.516,30,53,0.566,18,40,0.45,27,36,0.75,141,47,114,0.412,30,63,0.476,17,51,0.333,23,29,0.793,134
44,DEN,2022-12-14,141,,WAS,1,240,54,83,0.651,50,67,0.746,4,16,0.25,29,35,0.829,141,48,91,0.527,29,52,0.558,19,39,0.487,13,23,0.565,128
45,MIL,2023-04-04,140,@,WAS,1,240,50,92,0.543,27,50,0.54,23,42,0.548,17,29,0.586,140,50,99,0.505,37,72,0.514,13,27,0.481,15,21,0.714,128
46,BOS,2023-03-30,140,@,MIL,1,240,51,91,0.56,29,48,0.604,22,43,0.512,16,20,0.8,140,38,101,0.376,24,58,0.414,14,43,0.326,9,13,0.692,99
47,MIN,2023-03-20,140,@,NYK,1,240,51,83,0.614,37,59,0.627,14,24,0.583,24,32,0.75,140,48,85,0.565,34,57,0.596,14,28,0.5,24,28,0.857,134
48,SAC,2023-02-06,140,@,HOU,1,240,52,89,0.584,31,48,0.646,21,41,0.512,15,18,0.833,140,44,88,0.5,31,56,0.554,13,32,0.406,19,24,0.792,120
49,LAL,2023-01-16,140,,HOU,1,240,49,91,0.538,37,58,0.638,12,33,0.364,30,35,0.857,140,49,100,0.49,38,70,0.543,11,30,0.367,23,31,0.742,132
