Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2023-24,BOS,38,50,38,12,.760,12125,2158,4527,1346,2384,812,2143,887,1099,549,1827,2376,1294,322,328,628,855,6015,.477,.565,.379,.807,.600,.566
2,2023-24,DEN,35,51,35,16,.686,12240,2232,4521,1645,2935,587,1586,803,1063,563,1685,2248,1465,345,275,634,953,5854,.494,.560,.370,.755,.587,.559
3,2023-24,MIN,35,51,35,16,.686,12315,2096,4293,1461,2671,635,1622,942,1212,462,1773,2235,1339,380,298,767,997,5769,.488,.547,.391,.777,.598,.562
4,2023-24,OKC,35,51,35,16,.686,12340,2275,4541,1597,2812,678,1729,931,1122,443,1667,2110,1391,417,339,642,995,6159,.501,.568,.392,.830,.612,.576
5,2023-24,LAC,34,49,34,15,.694,11785,2130,4290,1480,2661,650,1629,910,1122,508,1613,2121,1288,396,262,631,954,5820,.497,.556,.399,.811,.608,.572
6,2023-24,MIL,33,51,33,18,.647,12315,2266,4566,1543,2646,723,1920,1034,1343,479,1765,2244,1358,347,268,658,1037,6289,.496,.583,.377,.770,.610,.575
7,2023-24,NYK,33,51,33,18,.647,12240,2133,4552,1467,2750,666,1802,943,1201,646,1712,2358,1224,379,203,671,926,5875,.469,.533,.370,.785,.578,.542
8,2023-24,CLE,32,48,32,16,.667,11570,2049,4263,1406,2486,643,1777,768,998,519,1644,2163,1294,375,220,651,902,5509,.481,.566,.362,.770,.586,.556
9,2023-24,PHI,30,49,30,19,.612,11810,2076,4368,1516,2829,560,1539,1107,1331,541,1573,2114,1217,435,291,584,1024,5819,.475,.536,.364,.832,.587,.539
10,2023-24,PHO,30,51,30,21,.588,12315,2173,4363,1567,2760,606,1603,1029,1271,506,1700,2206,1351,371,302,757,946,5981,.498,.568,.378,.810,.608,.567
