Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
11,2023-24,IND,29,52,29,23,.558,12480,2444,4820,1732,2948,712,1872,865,1100,536,1598,2134,1606,402,306,704,1161,6465,.507,.588,.380,.786,.609,.581
12,2023-24,NOP,29,50,29,21,.580,12025,2149,4409,1540,2801,609,1608,937,1224,554,1675,2229,1347,409,236,658,962,5844,.487,.550,.379,.766,.591,.556
13,2023-24,SAC,29,49,29,20,.592,11885,2140,4452,1408,2478,732,1974,787,1079,508,1615,2123,1404,351,191,663,980,5799,.481,.568,.371,.729,.589,.563
14,2023-24,DAL,28,51,28,23,.549,12240,2174,4576,1401,2505,773,2071,909,1200,507,1611,2118,1292,335,216,633,973,6030,.475,.559,.373,.758,.591,.560
15,2023-24,LAL,27,52,27,25,.519,12580,2236,4548,1650,2950,586,1598,986,1277,432,1804,2236,1471,409,286,731,854,6044,.492,.559,.367,.772,.591,.556
16,2023-24,MIA,27,51,27,24,.529,12265,2013,4360,1383,2672,630,1688,972,1182,494,1649,2143,1316,371,165,668,931,5628,.462,.518,.373,.822,.577,.534
17,2023-24,ORL,27,51,27,24,.529,12315,2061,4397,1514,2806,547,1591,1004,1328,563,1625,2188,1257,418,266,742,1076,5673,.469,.540,.344,.756,.569,.531
18,2023-24,UTA,26,52,26,26,.500,12605,2224,4711,1537,2792,687,1919,994,1207,661,1764,2425,1478,346,311,824,1006,6129,.472,.551,.358,.824,.585,.545
19,2023-24,CHI,24,51,24,27,.471,12415,2117,4551,1520,2879,597,1672,851,1078,564,1650,2214,1247,399,273,636,978,5682,.465,.528,.357,.789,.565,.531
20,2023-24,HOU,23,50,23,27,.460,12125,2084,4494,1485,2792,599,1702,918,1179,534,1733,2267,1254,373,221,637,1070,5685,.464,.532,.352,.779,.567,.530
21,2023-24,ATL,22,50,22,28,.440,12100,2192,4690,1502,2792,690,1898,1008,1243,655,1591,2246,1306,388,219,677,947,6082,.467,.538,.364,.811,.581,.541
22,2023-24,GSW,22,47,22,25,.468,11430,2023,4288,1329,2425,694,1863,841,1062,583,1597,2180,1333,310,190,683,971,5581,.472,.548,.373,.792,.587,.553
23,2023-24,BRK,20,50,20,30,.400,12075,2101,4562,1406,2657,695,1905,810,1067,597,1660,2257,1340,342,275,630,960,5707,.461,.529,.365,.759,.567,.537
24,2023-24,MEM,18,51,18,33,.353,12290,1972,4503,1278,2504,694,1999,821,1068,517,1630,2147,1276,390,314,753,1007,5459,.438,.510,.347,.769,.549,.515
25,2023-24,TOR,17,50,17,33,.340,12100,2147,4484,1559,2841,588,1643,832,1118,560,1612,2172,1473,374,243,673,927,5714,.479,.549,.358,.744,.574,.544
26,2023-24,POR,15,50,15,35,.300,12125,1975,4485,1374,2790,601,1695,868,1088,597,1478,2075,1131,389,229,740,1014,5419,.440,.492,.355,.798,.546,.507
27,2023-24,CHO,10,49,10,39,.204,11810,2000,4368,1417,2751,583,1617,735,934,507,1494,2001,1215,324,240,668,946,5318,.458,.515,.361,.787,.556,.525
28,2023-24,SAS,10,50,10,40,.200,12050,2101,4563,1476,2734,625,1829,790,1013,518,1654,2172,1467,362,304,741,914,5617,.460,.540,.342,.780,.561,.529
29,2023-24,WAS,9,49,9,40,.184,11760,2121,4457,1542,2785,579,1672,799,1041,447,1534,1981,1369,378,269,671,972,5620,.476,.554,.346,.768,.572,.541
30,2023-24,DET,6,49,6,43,.122,11810,2061,4350,1518,2826,543,1524,852,1097,540,1572,2112,1289,291,244,762,1070,5517,.474,.537,.356,.777,.571,.536
31,2022-23,MIL,58,82,58,24,.707,19830,3504,7411,2287,4105,1217,3306,1364,1837,914,3074,3988,2115,521,403,1199,1481,9589,.473,.557,.368,.743,.583,.555
32,2022-23,BOS,57,82,57,25,.695,19980,3460,7278,2145,3786,1315,3492,1436,1769,796,2921,3717,2186,521,430,1095,1542,9671,.475,.567,.377,.812,.600,.566
33,2022-23,PHI,54,82,54,28,.659,19880,3347,6870,2312,4195,1035,2675,1719,2058,715,2641,3356,2063,635,389,1121,1675,9448,.487,.551,.387,.835,.608,.563
34,2022-23,DEN,53,82,53,29,.646,19755,3574,7088,2605,4529,969,2559,1378,1834,828,2699,3527,2368,618,368,1192,1525,9495,.504,.575,.379,.751,.601,.573
35,2022-23,CLE,51,82,51,31,.622,19880,3408,6984,2458,4395,950,2589,1439,1844,795,2574,3369,2045,586,384,1094,1560,9205,.488,.559,.367,.780,.590,.556
36,2022-23,MEM,51,82,51,31,.622,19780,3585,7551,2600,4744,985,2807,1432,1954,988,2835,3823,2135,680,473,1116,1643,9587,.475,.548,.351,.733,.570,.540
37,2022-23,SAC,48,82,48,34,.585,19830,3573,7232,2445,4172,1128,3060,1624,2055,782,2699,3481,2237,574,275,1106,1616,9898,.494,.586,.369,.790,.608,.572
38,2022-23,NYK,47,82,47,35,.573,19955,3444,7328,2407,4398,1037,2930,1589,2087,1031,2790,3821,1880,527,340,1065,1666,9514,.470,.547,.354,.761,.577,.541
39,2022-23,BRK,45,82,45,37,.549,19730,3399,6978,2351,4207,1048,2771,1449,1811,674,2648,3322,2093,585,506,1127,1730,9295,.487,.559,.378,.800,.598,.562
40,2022-23,PHO,45,82,45,37,.549,19780,3453,7388,2452,4714,1001,2674,1412,1781,971,2657,3628,2235,585,432,1110,1739,9319,.467,.520,.374,.793,.570,.535
41,2022-23,GSW,44,82,44,38,.537,19830,3538,7393,2175,3853,1363,3540,1314,1655,864,2793,3657,2446,588,323,1336,1757,9753,.479,.564,.385,.794,.600,.571
42,2022-23,LAC,44,82,44,38,.537,19830,3370,7059,2329,4324,1041,2735,1533,1962,803,2742,3545,1959,580,364,1167,1598,9314,.477,.539,.381,.781,.588,.551
43,2022-23,MIA,44,82,44,38,.537,19805,3215,6991,2235,4139,980,2852,1567,1885,796,2533,3329,1955,655,243,1106,1516,8977,.460,.540,.344,.831,.574,.530
44,2022-23,LAL,43,82,43,39,.524,19880,3516,7298,2631,4740,885,2558,1691,2182,818,2930,3748,2072,526,378,1154,1466,9608,.482,.555,.346,.775,.582,.542
45,2022-23,MIN,42,82,42,40,.512,19830,3515,7167,2518,4436,997,2731,1467,1942,749,2686,3435,2145,657,444,1258,1768,9494,.490,.568,.365,.755,.592,.560
46,2022-23,NOP,42,82,42,40,.512,19855,3447,7180,2548,4712,899,2468,1585,2000,866,2717,3583,2122,681,337,1196,1678,9378,.480,.541,.364,.793,.582,.543
47,2022-23,ATL,41,82,41,41,.500,19855,3658,7574,2776,5069,882,2505,1513,1850,920,2719,3639,2049,580,401,1060,1541,9711,.483,.548,.352,.818,.579,.541
48,2022-23,TOR,41,82,41,41,.500,19805,3434,7489,2554,4863,880,2626,1506,1922,1043,2485,3528,1961,772,424,956,1641,9254,.459,.525,.335,.784,.555,.517
49,2022-23,CHI,40,82,40,42,.488,19905,3488,7116,2634,4749,854,2367,1446,1788,694,2779,3473,2006,644,371,1097,1551,9276,.490,.555,.361,.809,.587,.550
50,2022-23,OKC,40,82,40,42,.488,19855,3533,7590,2538,4793,995,2797,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633,.465,.530,.356,.809,.570,.531
51,2022-23,DAL,38,82,38,44,.463,19930,3283,6909,2037,3547,1246,3362,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366,.475,.574,.371,.755,.599,.565
52,2022-23,UTA,37,82,37,45,.451,19805,3485,7365,2391,4266,1094,3099,1536,1955,968,2794,3762,2129,500,429,1259,1679,9600,.473,.560,.353,.786,.584,.547
53,2022-23,IND,35,82,35,47,.427,19755,3444,7345,2332,4315,1112,3030,1535,1944,832,2575,3407,2213,631,478,1225,1741,9535,.469,.540,.367,.790,.581,.545
54,2022-23,WAS,35,82,35,47,.427,19755,3456,7127,2531,4526,925,2601,1442,1838,774,2804,3578,2083,561,424,1158,1539,9279,.485,.559,.356,.785,.585,.550
55,2022-23,ORL,34,82,34,48,.415,19780,3323,7074,2440,4523,883,2551,1607,2050,833,2713,3546,1906,603,382,1236,1652,9136,.470,.539,.346,.784,.573,.532
56,2022-23,POR,33,82,33,49,.402,19730,3317,7001,2261,4108,1056,2893,1609,2021,774,2551,3325,1981,553,376,1185,1643,9299,.474,.550,.365,.796,.589,.549
57,2022-23,CHO,27,82,27,55,.329,19830,3385,7413,2504,4744,881,2669,1447,1933,901,2751,3652,2062,634,425,1164,1661,9098,.457,.528,.330,.749,.550,.516
58,2022-23,HOU,22,82,22,60,.268,19755,3329,7287,2473,4668,856,2619,1567,2078,1100,2695,3795,1835,600,374,1332,1679,9081,.457,.530,.327,.754,.554,.516
59,2022-23,SAS,22,82,22,60,.268,19855,3533,7593,2622,4953,911,2640,1292,1739,965,2619,3584,2232,572,322,1253,1630,9269,.465,.529,.345,.743,.554,.525
60,2022-23,DET,17,82,17,65,.207,19805,3244,7140,2310,4481,934,2659,1623,2106,916,2564,3480,1884,574,308,1237,1813,9045,.454,.516,.351,.771,.561,.520
61,2021-22,PHO,64,82,64,18,.780,19730,3581,7389,2630,4773,951,2616,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416,.485,.551,.364,.797,.581,.549
62,2021-22,MEM,56,82,56,26,.683,19780,3571,7739,2626,5060,945,2679,1393,1898,1159,2873,4032,2131,800,533,1082,1620,9480,.461,.519,.353,.734,.553,.522
63,2021-22,GSW,53,82,53,29,.646,19730,3323,7087,2147,3856,1176,3231,1280,1665,800,2930,3730,2223,719,372,1221,1723,9102,.469,.557,.364,.769,.582,.552
64,2021-22,MIA,53,82,53,29,.646,19855,3246,6954,2132,4018,1114,2936,1416,1753,807,2778,3585,2090,606,265,1194,1679,9022,.467,.531,.379,.808,.584,.547
65,2021-22,DAL,52,82,52,30,.634,19755,3222,6982,2149,3919,1073,3063,1341,1739,759,2769,3528,1918,552,325,1025,1612,8858,.461,.548,.350,.771,.572,.538
66,2021-22,BOS,51,82,51,31,.622,19905,3341,7167,2256,4123,1085,3044,1397,1713,863,2915,3778,2036,591,478,1118,1521,9164,.466,.547,.356,.816,.578,.542
67,2021-22,MIL,51,82,51,31,.622,19755,3429,7331,2276,4180,1153,3151,1459,1881,840,2990,3830,1960,623,326,1100,1494,9470,.468,.544,.366,.776,.580,.546
68,2021-22,PHI,51,82,51,31,.622,19805,3230,6932,2280,4324,950,2608,1605,1955,700,2770,3470,1945,633,435,1027,1590,9015,.466,.527,.364,.821,.578,.534
69,2021-22,UTA,49,82,49,33,.598,19730,3327,7067,2135,3759,1192,3308,1470,1916,884,2916,3800,1836,588,402,1149,1547,9316,.471,.568,.360,.767,.589,.555
70,2021-22,DEN,48,82,48,34,.585,19805,3416,7079,2377,4135,1039,2944,1372,1725,752,2865,3617,2279,592,305,1189,1639,9243,.483,.575,.353,.795,.590,.556
71,2021-22,TOR,48,82,48,34,.585,19855,3332,7489,2353,4681,979,2808,1327,1749,1095,2622,3717,1809,738,376,1021,1607,8970,.445,.503,.349,.759,.543,.510
72,2021-22,CHI,46,82,46,36,.561,19730,3422,7127,2550,4763,872,2364,1436,1766,711,2760,3471,1958,585,336,1053,1540,9152,.480,.535,.369,.813,.579,.541
73,2021-22,MIN,46,82,46,36,.561,19780,3411,7458,2200,4072,1211,3386,1474,1894,921,2700,3621,2106,721,460,1175,1786,9507,.457,.540,.358,.778,.573,.539
74,2021-22,CLE,44,82,44,38,.537,19730,3255,6940,2302,4254,953,2686,1376,1810,837,2786,3623,2064,580,343,1181,1433,8839,.469,.541,.355,.760,.571,.538
75,2021-22,BRK,44,82,44,38,.537,19755,3442,7251,2502,4649,940,2602,1434,1781,844,2796,3640,2071,582,448,1153,1670,9258,.475,.538,.361,.805,.576,.540
76,2021-22,ATL,43,82,43,39,.524,19705,3401,7241,2345,4420,1056,2821,1485,1829,823,2783,3606,2017,587,348,972,1534,9343,.470,.531,.374,.812,.581,.543
77,2021-22,CHO,43,82,43,39,.524,19880,3508,7497,2365,4367,1143,3130,1298,1753,888,2767,3655,2302,707,402,1087,1629,9457,.468,.542,.365,.740,.572,.544
78,2021-22,LAC,42,82,42,40,.512,19780,3285,7170,2238,4368,1047,2802,1273,1606,747,2860,3607,1969,608,406,1126,1528,8890,.458,.512,.374,.793,.564,.531
79,2021-22,NYK,37,82,37,45,.451,19780,3088,7069,2006,4040,1082,3029,1473,1980,941,2841,3782,1793,570,399,1087,1672,8731,.437,.497,.357,.744,.550,.513
80,2021-22,NOP,36,82,36,46,.439,19755,3294,7212,2421,4583,873,2629,1501,1903,981,2726,3707,2047,680,328,1153,1612,8962,.457,.528,.332,.789,.557,.517
81,2021-22,WAS,35,82,35,47,.427,19830,3327,7056,2467,4544,860,2512,1393,1778,737,2798,3535,2052,522,406,1077,1545,8907,.472,.543,.342,.783,.568,.532
82,2021-22,SAS,34,82,34,48,.415,19805,3546,7601,2621,4975,925,2626,1262,1673,901,2815,3716,2289,626,403,1042,1483,9279,.467,.527,.352,.754,.556,.527
83,2021-22,LAL,33,82,33,49,.402,19980,3415,7279,2433,4453,982,2826,1380,1884,782,2826,3608,1968,626,425,1191,1654,9192,.469,.546,.347,.732,.567,.537
84,2021-22,SAC,30,82,30,52,.366,19805,3321,7223,2384,4501,937,2722,1466,1908,784,2737,3521,1943,588,369,1156,1552,9045,.460,.530,.344,.768,.561,.525
85,2021-22,POR,27,82,27,55,.329,19730,3161,7144,2118,4127,1043,3017,1346,1771,854,2661,3515,1880,657,366,1187,1728,8711,.442,.513,.346,.760,.550,.515
86,2021-22,IND,25,82,25,57,.305,19880,3398,7338,2401,4439,997,2899,1347,1754,925,2671,3596,2081,582,457,1183,1675,9140,.463,.541,.344,.768,.564,.531
87,2021-22,OKC,24,82,24,58,.293,19805,3141,7310,2150,4244,991,3066,1233,1632,854,2887,3741,1822,622,380,1145,1497,8506,.430,.507,.323,.756,.530,.497
88,2021-22,DET,23,82,23,59,.280,19780,3129,7267,2204,4429,925,2838,1413,1806,900,2625,3525,1924,630,393,1163,1799,8596,.431,.498,.326,.782,.533,.494
89,2021-22,ORL,22,82,22,60,.268,19780,3139,7240,2140,4218,999,3022,1270,1614,746,2885,3631,1947,555,367,1188,1612,8547,.434,.507,.331,.787,.538,.503
90,2021-22,HOU,20,82,20,62,.244,19755,3229,7083,2124,3913,1105,3170,1434,2010,786,2660,3446,1932,600,382,1351,1692,8997,.456,.543,.349,.713,.565,.534
91,2020-21,UTA,52,72,52,20,.722,17355,2971,6344,1766,3246,1205,3098,1235,1546,765,2709,3474,1703,474,371,1023,1335,8382,.468,.544,.389,.799,.597,.563
92,2020-21,PHO,51,72,51,21,.708,17480,3118,6357,2178,3867,940,2490,1124,1347,630,2462,3092,1939,517,312,902,1374,8300,.490,.563,.378,.834,.597,.564
93,2020-21,PHI,49,72,49,23,.681,17430,2981,6257,2170,4088,811,2169,1409,1836,722,2522,3244,1706,655,447,1040,1456,8182,.476,.531,.374,.767,.579,.541
94,2020-21,BRK,48,72,48,24,.667,17405,3106,6289,2086,3689,1020,2600,1305,1623,640,2559,3199,1929,484,379,975,1371,8537,.494,.565,.392,.804,.610,.575
95,2020-21,DEN,47,72,47,25,.653,17480,3114,6422,2187,3960,927,2462,1129,1406,758,2442,3200,1933,582,323,972,1374,8284,.485,.552,.377,.803,.588,.557
96,2020-21,LAC,47,72,47,25,.653,17280,3009,6242,1982,3744,1027,2498,1164,1387,678,2501,3179,1756,509,295,950,1383,8209,.482,.529,.411,.839,.599,.564
97,2020-21,MIL,46,72,46,26,.639,17330,3221,6610,2183,3941,1038,2669,1169,1539,741,2724,3465,1834,585,334,995,1244,8649,.487,.554,.389,.760,.593,.566
98,2020-21,DAL,42,72,42,30,.583,17305,2958,6287,1964,3543,994,2744,1186,1524,657,2463,3120,1647,450,311,869,1396,8096,.470,.554,.362,.778,.582,.550
99,2020-21,LAL,42,72,42,30,.583,17455,2925,6197,2129,3949,796,2248,1241,1679,695,2490,3185,1775,562,386,1095,1377,7887,.472,.539,.354,.739,.569,.536
100,2020-21,POR,42,72,42,30,.583,17305,2973,6558,1841,3619,1132,2939,1282,1558,766,2441,3207,1531,496,363,799,1362,8360,.453,.509,.385,.823,.577,.540
101,2020-21,ATL,41,72,41,31,.569,17405,2937,6281,2042,3879,895,2402,1417,1745,760,2525,3285,1737,503,342,953,1392,8186,.468,.526,.373,.812,.581,.539
102,2020-21,NYK,41,72,41,31,.569,17430,2839,6225,1992,4062,847,2163,1181,1506,696,2554,3250,1541,507,365,932,1473,7706,.456,.490,.392,.784,.559,.524
103,2020-21,MIA,40,72,40,32,.556,17380,2824,6029,1892,3423,932,2606,1201,1520,579,2409,2988,1895,569,286,1013,1363,7781,.468,.553,.358,.790,.581,.546
104,2020-21,GSW,39,72,39,33,.542,17305,2973,6347,1925,3558,1048,2789,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,.468,.541,.376,.785,.583,.551
105,2020-21,MEM,38,72,38,34,.528,17405,3085,6608,2282,4350,803,2258,1184,1536,803,2543,3346,1938,655,364,957,1349,8157,.467,.525,.356,.771,.560,.528
106,2020-21,BOS,36,72,36,36,.500,17380,2985,6401,2006,3783,979,2618,1160,1496,765,2421,3186,1689,556,383,1012,1471,8109,.466,.530,.374,.775,.574,.543
107,2020-21,IND,34,72,34,38,.472,17455,3115,6567,2226,4122,889,2445,1183,1493,648,2424,3072,1973,611,460,975,1453,8302,.474,.540,.364,.792,.575,.542
108,2020-21,WAS,34,72,34,38,.472,17405,3108,6547,2375,4459,733,2088,1449,1884,697,2557,3254,1835,528,297,1037,1555,8398,.475,.533,.351,.769,.569,.531
109,2020-21,CHO,33,72,33,39,.458,17355,2875,6324,1890,3658,985,2666,1146,1505,762,2389,3151,1933,565,344,1069,1298,7881,.455,.517,.369,.761,.564,.532
110,2020-21,SAS,33,72,33,39,.458,17480,3014,6518,2298,4472,716,2046,1254,1584,669,2489,3158,1759,505,366,821,1293,7998,.462,.514,.350,.792,.554,.517
111,2020-21,CHI,31,72,31,41,.431,17380,3035,6380,2131,3934,904,2446,995,1258,693,2544,3237,1927,482,304,1089,1362,7969,.476,.542,.370,.791,.575,.547
112,2020-21,NOP,31,72,31,41,.431,17430,3060,6412,2298,4222,762,2190,1369,1878,845,2568,3413,1872,545,315,1052,1295,8251,.477,.544,.348,.729,.570,.537
113,2020-21,SAC,31,72,31,41,.431,17305,3067,6382,2193,3982,874,2400,1181,1585,674,2307,2981,1836,543,358,963,1400,8189,.481,.551,.364,.745,.578,.549
114,2020-21,TOR,27,72,27,45,.375,17305,2859,6383,1818,3552,1041,2831,1252,1536,680,2314,2994,1735,618,389,952,1526,8011,.448,.512,.368,.815,.567,.529
115,2020-21,MIN,23,72,23,49,.319,17405,2932,6546,1988,3840,944,2706,1265,1662,757,2376,3133,1846,632,398,1027,1507,8073,.448,.518,.349,.761,.555,.520
116,2020-21,CLE,22,72,22,50,.306,17430,2778,6175,2058,4034,720,2141,1200,1614,751,2327,3078,1716,559,325,1114,1308,7476,.450,.510,.336,.743,.543,.508
117,2020-21,OKC,22,72,22,50,.306,17355,2795,6338,1938,3809,857,2529,1113,1536,715,2568,3283,1588,504,316,1162,1305,7560,.441,.509,.339,.725,.539,.509
118,2020-21,ORL,21,72,21,51,.292,17330,2754,6423,1970,4135,784,2288,1196,1543,747,2525,3272,1571,496,318,924,1237,7488,.429,.476,.343,.775,.527,.490
119,2020-21,DET,20,72,20,52,.278,17430,2783,6162,1951,3792,832,2370,1278,1683,694,2381,3075,1743,531,371,1075,1477,7676,.452,.515,.351,.759,.556,.519
120,2020-21,HOU,17,72,17,55,.236,17305,2826,6372,1834,3449,992,2923,1189,1606,671,2396,3067,1699,546,361,1060,1407,7833,.444,.532,.339,.740,.553,.521
121,2019-20,MIL,56,73,56,17,.767,17595,3160,6638,2153,3798,1007,2840,1336,1800,691,3083,3774,1889,526,429,1102,1431,8663,.476,.567,.355,.742,.583,.552
122,2019-20,TOR,53,72,53,19,.736,17380,2897,6331,1902,3668,995,2663,1329,1670,685,2583,3268,1816,636,358,1067,1559,8118,.458,.519,.374,.796,.574,.536
123,2019-20,LAL,52,71,52,19,.732,17090,3006,6269,2224,4027,782,2242,1260,1728,757,2490,3247,1803,612,468,1077,1471,8054,.480,.552,.349,.729,.573,.542
124,2019-20,LAC,49,72,49,23,.681,17380,2992,6425,2097,4015,895,2410,1498,1894,767,2664,3431,1708,511,338,1051,1594,8377,.466,.522,.371,.791,.577,.535
125,2019-20,BOS,48,72,48,24,.667,17430,2971,6448,2066,3961,905,2487,1336,1668,768,2549,3317,1655,595,406,995,1553,8183,.461,.522,.364,.801,.570,.531
126,2019-20,DEN,46,73,46,27,.630,17745,3069,6488,2268,4254,801,2234,1185,1526,786,2436,3222,1952,586,337,1005,1485,8124,.473,.533,.359,.777,.567,.535
127,2019-20,IND,45,73,45,28,.616,17620,3075,6457,2332,4411,743,2046,1096,1393,636,2489,3125,1888,543,376,967,1445,7989,.476,.529,.363,.787,.565,.534
128,2019-20,HOU,44,72,44,28,.611,17380,2936,6512,1810,3251,1126,3261,1484,1876,704,2484,3188,1557,627,371,1057,1566,8482,.451,.557,.345,.791,.578,.537
129,2019-20,MIA,44,73,44,29,.603,17745,2880,6160,1901,3576,979,2584,1440,1840,620,2619,3239,1892,547,332,1088,1501,8179,.468,.532,.379,.783,.587,.547
130,2019-20,OKC,44,72,44,28,.611,17430,2879,6156,2109,3985,770,2171,1422,1787,593,2495,3088,1562,550,353,986,1390,7950,.468,.529,.355,.796,.573,.530
131,2019-20,UTA,44,72,44,28,.611,17355,2886,6130,1923,3593,963,2537,1278,1641,656,2577,3233,1615,438,292,1089,1468,8013,.471,.535,.380,.779,.585,.549
132,2019-20,DAL,43,75,43,32,.573,18175,3124,6772,1988,3677,1136,3095,1392,1787,791,2729,3520,1849,460,363,953,1462,8776,.461,.541,.367,.779,.581,.545
133,2019-20,PHI,43,73,43,30,.589,17595,3000,6417,2152,4110,848,2307,1236,1638,764,2553,3317,1884,586,389,1037,1529,8084,.468,.524,.368,.755,.566,.534
134,2019-20,BRK,35,72,35,37,.486,17480,2908,6498,1967,3752,941,2746,1291,1732,766,2683,3449,1761,464,323,1099,1510,8048,.448,.524,.343,.745,.554,.520
135,2019-20,POR,35,74,35,39,.473,17835,3122,6749,2170,4224,952,2525,1312,1632,754,2599,3353,1525,465,451,946,1606,8508,.463,.514,.377,.804,.570,.533
136,2019-20,MEM,34,73,34,39,.466,17570,3106,6634,2308,4337,798,2297,1212,1589,754,2643,3397,1965,576,398,1113,1546,8222,.468,.532,.347,.763,.561,.528
137,2019-20,PHO,34,73,34,39,.466,17595,3006,6429,2175,4109,831,2320,1451,1740,712,2465,3177,1987,559,290,1077,1609,8294,.468,.529,.358,.834,.576,.532
138,2019-20,ORL,33,73,33,40,.452,17570,2871,6468,2064,4114,807,2354,1282,1656,751,2498,3249,1747,599,396,937,1336,7831,.444,.502,.343,.774,.544,.506
139,2019-20,SAS,32,71,32,39,.451,17215,2995,6350,2235,4329,760,2021,1348,1664,640,2530,3170,1751,518,390,895,1377,8098,.472,.516,.376,.810,.572,.531
140,2019-20,SAC,31,72,31,41,.431,17455,2943,6364,2029,3853,914,2511,1127,1464,695,2372,3067,1713,556,293,1043,1595,7927,.462,.527,.364,.770,.566,.534
141,2019-20,NOP,30,72,30,42,.417,17430,3065,6598,2083,3942,982,2656,1229,1687,797,2551,3348,1932,539,358,1181,1524,8341,.465,.528,.370,.729,.568,.539
142,2019-20,WAS,25,72,25,47,.347,17355,2990,6544,2126,4199,864,2345,1394,1770,732,2295,3027,1801,574,309,1020,1634,8238,.457,.506,.368,.788,.562,.523
143,2019-20,CHO,23,65,23,42,.354,15750,2425,5586,1640,3355,785,2231,1052,1406,715,2066,2781,1549,428,268,949,1223,6687,.434,.489,.352,.748,.539,.504
144,2019-20,CHI,22,65,22,43,.338,15675,2573,5762,1780,3480,793,2282,1006,1332,680,2041,2721,1510,652,265,1005,1417,6945,.447,.511,.348,.755,.547,.515
145,2019-20,NYK,21,66,21,45,.318,15965,2638,5896,2007,4024,631,1872,1076,1550,795,2274,3069,1456,504,313,946,1464,6983,.447,.499,.337,.694,.531,.501
146,2019-20,ATL,20,67,20,47,.299,16280,2723,6067,1918,3651,805,2416,1237,1566,661,2237,2898,1605,523,341,1086,1548,7488,.449,.525,.333,.790,.554,.515
147,2019-20,DET,20,66,20,46,.303,15965,2595,5658,1804,3501,791,2157,1097,1476,644,2109,2753,1589,490,299,1008,1299,7078,.459,.515,.367,.743,.561,.529
148,2019-20,CLE,19,65,19,46,.292,15725,2619,5715,1892,3645,727,2070,983,1296,704,2172,2876,1500,447,211,1073,1188,6948,.458,.519,.351,.758,.553,.522
149,2019-20,MIN,19,64,19,45,.297,15560,2586,5865,1733,3325,853,2540,1223,1624,675,2193,2868,1525,555,362,981,1370,7248,.441,.521,.336,.753,.551,.514
150,2019-20,GSW,15,65,15,50,.231,15725,2510,5730,1832,3698,678,2032,1214,1511,647,2138,2785,1663,534,299,969,1304,6912,.438,.495,.334,.803,.540,.497
151,2018-19,MIL,60,82,60,22,.732,19780,3555,7471,2450,4337,1105,3134,1471,1904,762,3316,4078,2136,615,486,1137,1608,9686,.476,.565,.353,.773,.583,.550
152,2018-19,TOR,58,82,58,24,.707,19880,3460,7305,2445,4534,1015,2771,1449,1803,786,2920,3706,2085,680,437,1150,1724,9384,.474,.539,.366,.804,.579,.543
153,2018-19,GSW,57,82,57,25,.695,19805,3612,7361,2525,4537,1087,2824,1339,1672,797,2990,3787,2413,625,525,1169,1757,9650,.491,.557,.385,.801,.596,.565
