,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.PHOENIX_SUNS,Outcome.LOSS,240,43,94,11,34,15,16,9,33,28,9,8,14,13,112
0,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,240,45,101,17,41,6,11,13,39,33,6,2,13,20,113
