,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.PHOENIX_SUNS,Outcome.WIN,240,51,85,14,34,16,22,11,38,30,10,4,15,20,132
0,Team.DALLAS_MAVERICKS,Outcome.LOSS,240,41,89,17,43,10,18,10,23,25,4,3,14,16,109
