,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.ORLANDO_MAGIC,Outcome.WIN,240,41,86,7,20,19,23,12,33,29,10,5,15,20,108
0,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,240,36,80,9,31,17,24,7,34,24,9,9,17,20,98
