,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.BROOKLYN_NETS,Outcome.WIN,240,49,95,20,51,18,23,13,40,35,3,5,10,20,136
0,Team.PHILADELPHIA_76ERS,Outcome.LOSS,240,44,96,12,29,21,27,11,33,26,7,1,5,17,121
