,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.DENVER_NUGGETS,Outcome.LOSS,240,36,94,11,40,12,17,12,36,24,7,2,13,14,95
0,Team.MILWAUKEE_BUCKS,Outcome.WIN,240,42,84,16,34,12,18,9,42,30,8,6,12,19,112
