,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.BOSTON_CELTICS,Outcome.WIN,240,41,88,15,46,22,30,5,39,26,7,8,6,20,119
0,Team.DALLAS_MAVERICKS,Outcome.LOSS,240,43,97,14,40,10,14,10,38,24,4,4,10,20,110
