,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.CLEVELAND_CAVALIERS,Outcome.WIN,240,41,86,14,35,12,18,10,38,26,6,8,14,16,108
0,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,240,37,90,12,38,15,17,7,36,25,9,12,12,19,101
