,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.DETROIT_PISTONS,Outcome.LOSS,240,45,102,9,30,7,7,14,43,27,7,2,14,19,106
0,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,240,37,82,13,39,25,26,0,35,20,9,6,11,13,112
