,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,240,42,81,11,35,16,17,4,23,29,7,5,14,16,111
0,Team.ORLANDO_MAGIC,Outcome.WIN,240,49,82,16,27,13,20,8,31,34,11,5,16,20,127
