,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,240,54,96,18,40,14,16,16,31,36,11,8,15,20,140
0,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,240,43,86,9,32,19,25,12,26,30,7,11,18,14,114
