,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,240,47,88,12,32,11,16,8,30,30,13,5,12,17,117
0,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,240,36,78,12,32,22,26,8,29,23,7,2,19,17,106
