,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.TORONTO_RAPTORS,Outcome.LOSS,240,40,84,10,31,10,15,10,28,27,4,6,18,12,100
0,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,240,53,104,19,45,13,13,17,34,36,11,5,7,13,138
