,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.CHARLOTTE_HORNETS,Outcome.LOSS,240,27,79,7,29,23,29,8,40,17,2,2,13,20,84
0,Team.MILWAUKEE_BUCKS,Outcome.WIN,240,41,94,18,52,20,24,10,43,26,8,5,5,24,120
