,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.DENVER_NUGGETS,Outcome.LOSS,240,38,82,10,29,20,28,9,26,26,9,5,20,16,106
0,Team.SACRAMENTO_KINGS,Outcome.WIN,240,51,87,17,34,16,18,6,36,32,11,1,16,22,135
