,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.ATLANTA_HAWKS,Outcome.LOSS,240,36,89,9,38,18,20,15,30,23,5,6,16,20,99
0,Team.CHARLOTTE_HORNETS,Outcome.WIN,240,44,89,15,37,19,20,12,34,27,7,4,12,18,122
