,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.HOUSTON_ROCKETS,Outcome.WIN,240,50,89,13,33,25,31,11,42,34,7,10,12,20,138
0,Team.CHARLOTTE_HORNETS,Outcome.LOSS,240,35,85,9,29,25,32,5,27,20,6,7,13,25,104
