,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.CLEVELAND_CAVALIERS,Outcome.WIN,240,45,80,20,38,16,22,9,30,29,10,4,9,20,126
0,Team.ORLANDO_MAGIC,Outcome.LOSS,240,34,74,11,29,20,30,8,26,25,7,0,15,17,99
