,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
0,Team.PHOENIX_SUNS,Outcome.LOSS,240,41,73,4,14,12,21,6,33,19,4,5,22,19,98
0,Team.ORLANDO_MAGIC,Outcome.WIN,240,41,92,12,36,19,26,11,29,30,12,7,7,21,113
